Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by	UniqueSpec	UniqueSpecSum	UniqueAvgSpec	PreySequenceLength	UniProtID
AFDN_NBF	56252	YLPM1	1116|985	2101	1050.5	2	64|89|189|103|26|37|36|35|177|86|192|206|33|57|32|42|170|183|7|85|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	1	1	1	1	1	25.55	7.1	0		84|80	164	82	1000	F8VU51_HUMAN
AFDN_NBF	8570	KHSRP	777|804	1581	790.5	2	87|58|60|59|66|39|56|55|88|56|96|92|45|53|36|55|85|100|20|92|9|17|21|33|17|51|48|25|35|48|24|38|24|69|22|41|20|22|14|15	1	1	1	1	1	243.21	9.47	0		31|32	63	31.5	1000	FUBP2_HUMAN
AFDN_NBF	55339	WDR33	808|693	1501	750.5	2	15|10|16|27|0|3|11|0|30|13|34|54|0|18|0|3|25|47|0|22|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	1	1	1	1	1	76.9	26.06	0		41|40	81	40.5	1000	WDR33_HUMAN
AFDN_NBF	23020	SNRNP200	566|578	1144	572	2	102|82|147|66|12|23|26|49|181|117|176|202|19|46|43|38|147|133|8|140|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	1	1	1	1	1	6.9	4.01	0		77|72	149	74.5	1000	U520_HUMAN
AFDN_NBF	7536	SF1	512|552	1064	532	2	40|29|93|55|10|12|18|36|49|35|96|93|17|22|18|18|56|82|17|64|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	1	1	1	1	1	32.48	8.01	0		20|20	40	20	1000	SF01_HUMAN
AFDN_NBF	3178	HNRNPA1	524|465	989	494.5	2	82|32|84|79|41|39|40|34|41|63|95|65|37|32|28|39|71|107|32|86|0|27|0|0|0|0|0|0|0|0|0|0|0|0|0|8|0|0|0|0	1	1	1	1	1	51.25	6.4	0		7|6	13	6.5	1000	ROA1_HUMAN
AFDN_NBF	8241	RBM10	480|474	954	477	2	72|69|153|96|35|41|46|66|123|80|146|120|37|64|52|55|124|115|15|73|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	1	1	1	1	1	18.45	4.33	0		40|37	77	38.5	1000	RBM10_HUMAN
AFDN_NBF	6421	SFPQ	470|459	929	464.5	2	60|24|84|38|18|23|30|32|84|57|168|84|16|39|28|24|99|59|24|78|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|36|29|0|0|0	1	1	1	1	1	13	5.72	0		25|26	51	25.5	1000	SFPQ_HUMAN
AFDN_NBF	51663	ZFR	426|488	914	457	2	94|49|126|67|34|26|46|48|96|85|142|139|25|49|27|46|108|108|15|111|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	1	1	1	1	1	19.54	4.25	0		34|31	65	32.5	1000	ZFR_HUMAN
AFDN_NBF	2130	EWSR1	527|379	906	453	2	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	1	1	1	1	1	538.6	4530	0		12|12	24	12	1000	C9JGE3_HUMAN
AFDN_NBF	27332	ZNF638	469|428	897	448.5	2	56|66|103|86|15|19|36|48|135|78|118|119|5|53|18|29|160|134|0|65|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	1	1	1	1	1	6.4	4.22	0		66|59	125	62.5	1000	ZN638_HUMAN
AFDN_NBF	4670	HNRNPM	411|423	834	417	2	64|38|69|51|28|20|43|39|74|85|92|79|18|38|15|27|76|65|11|66|0|0|0|0|2|11|3|0|0|18|7|9|2|12|0|10|2|2|0|5	1	1	1	1	1	127.76	5.78	0		31|30	61	30.5	1000	HNRPM_HUMAN
AFDN_NBF	23248	RPRD2	406|414	820	410	2	58|67|104|114|33|39|41|39|109|61|166|120|28|52|31|46|123|103|12|73|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.99	1	0.99	1	0.99	3.71	3.94	0		43|43	86	43	1000	RPRD2_HUMAN
AFDN_NBF	3181	HNRNPA2B1	338|386	724	362	2	56|34|56|52|4|11|13|14|51|50|80|63|9|17|6|12|40|74|13|67|0|12|6|0|0|0|0|0|0|3|0|0|0|0|0|10|0|0|0|0	1	1	1	1	1	73.38	6.15	0		18|16	34	17	1000	ROA2_HUMAN
AFDN_NBF	8880	FUBP1	319|376	695	347.5	2	17|18|40|27|0|6|0|8|47|24|76|41|0|6|6|0|29|22|0|14|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	1	1	1	1	1	18.5	10.19	0		20|20	40	20	1000	FUBP1_HUMAN
AFDN_NBF	10180	RBM6	375|301	676	338	2	0|0|0|0|0|0|0|0|13|0|11|21|0|0|0|0|10|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	1	1	1	1	1	25.31	51.21	0		49|46	95	47.5	1000	E9PGM9_HUMAN
AFDN_NBF	51585	PCF11	337|329	666	333	2	10|28|36|24|0|0|0|5|28|12|33|37|0|10|2|5|32|32|0|13|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	1	1	1	1	1	81.16	12.11	0		40|37	77	38.5	1000	PCF11_HUMAN
AFDN_NBF	10915	TCERG1	324|312	636	318	2	57|52|89|54|32|29|36|43|62|57|97|76|26|50|27|43|64|84|7|65|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	1	1	1	1	1	39.43	4.51	0		40|38	78	39	1000	G3V220_HUMAN
AFDN_NBF	1655	DDX5	313|316	629	314.5	2	30|37|83|66|23|33|16|29|62|43|98|64|36|34|24|24|59|73|17|48|0|0|6|0|0|0|0|0|0|5|0|0|0|0|0|0|0|0|0|0	1	1	1	1	1	24.63	4.97	0		21|20	41	20.5	1000	J3KTA4_HUMAN
AFDN_NBF	9782	MATR3	268|272	540	270	2	37|42|74|78|25|19|23|15|77|34|63|101|21|28|29|13|67|80|8|42|0|0|0|0|0|0|0|0|0|4|0|0|2|0|0|0|0|0|0|0	1	1	1	1	1	10.21	4.08	0		28|28	56	28	1000	A0A0R4J2E8_HUMAN
AFDN_NBF	155435	RBM33	256|267	523	261.5	2	0|6|44|26|0|9|0|0|37|7|42|38|0|11|0|0|37|33|0|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	1	1	1	1	1	19.61	9.21	0		26|24	50	25	1000	A0A0C4DFS3_HUMAN
AFDN_NBF	8289	ARID1A	277|244	521	260.5	2	36|17|49|6|10|0|19|26|65|26|69|50|0|4|0|18|51|56|7|37|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	1	1	1	1	1	22.5	5.6	0		40|40	80	40	1000	ARI1A_HUMAN
AFDN_NBF	10236	HNRNPR	275|239	514	257	2	59|42|69|64|33|26|27|22|59|52|92|87|29|28|24|23|59|75|10|41|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|75|0|0|0	1	1	1	1	1	19.81	3.72	0		22|20	42	21	1000	B4DT28_HUMAN
AFDN_NBF	8939	FUBP3	238|269	507	253.5	2	18|18|38|25|0|9|0|16|25|20|31|24|11|19|5|13|33|30|0|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	1	1	1	1	1	116.81	9.64	0		20|16	36	18	1000	FUBP3_HUMAN
AFDN_NBF	3191	HNRNPL	227|248	475	237.5	2	63|22|28|15|32|16|26|31|39|44|50|36|17|16|13|25|47|61|36|67|36|27|5|8|0|17|7|15|21|5|5|11|5|26|32|27|45|14|4|0	1	1	1	1	1	39.78	4.87	0		16|17	33	16.5	1000	B4DVF8_HUMAN
AFDN_NBF	10137	RBM12	218|233	451	225.5	2	0|20|12|6|0|0|0|3|22|15|29|30|0|0|0|6|29|14|0|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	1	1	1	1	1	29.84	12.32	0		21|18	39	19.5	1000	Q5JX62_HUMAN
