Bait,Prey
AARS2,AASDH
AARS2,ABCB1
AARS2,ABCC4
AARS2,ABCD1
AARS2,ABI2
AARS2,ABL2
AARS2,ABLIM1
AARS2,ABRAXAS1
AARS2,ACAD11
AARS2,ACBD4
AARS2,ACOT1
AARS2,ACOT2
AARS2,ACSS1
AARS2,ACTA1
AARS2,ACTA2
AARS2,ACTC1
AARS2,ADAM22
AARS2,ADCK2
AARS2,ADCY3
AARS2,ADCY6
AARS2,ADCY9
AARS2,ADD2
AARS2,ADD3
AARS2,ADGRL1
AARS2,ADGRL2
AARS2,ADIPOR1
AARS2,ADIPOR2
AARS2,ADNP2
AARS2,ADPGK
AARS2,AGAP1
AARS2,AGAP3
AARS2,AGFG2
AARS2,AGGF1
AARS2,AGPAT1
AARS2,AGTPBP1
AARS2,AKAP17A
AARS2,AKAP5
AARS2,ALAS1
AARS2,ALDH1A2
AARS2,ALDH3B1
AARS2,ALG3
AARS2,ALG9
AARS2,ALKBH4
AARS2,ALMS1
AARS2,AMER1
AARS2,AMIGO2
AARS2,AMOT
AARS2,AMOTL1
AARS2,ANGEL2
AARS2,ANK2
AARS2,ANKH
AARS2,ANKHD1-EIF4EBP3
AARS2,ANKLE2
AARS2,ANKRD11
AARS2,ANKRD13C
AARS2,ANKRD26
AARS2,ANKRD50
AARS2,ANKS6
AARS2,ANO5
AARS2,ANO8
AARS2,ANTXR1
AARS2,ANTXR2
AARS2,AP1AR
AARS2,AP4E1
AARS2,APBB1
AARS2,APBB2
AARS2,APOL2
AARS2,ARAP2
AARS2,ARC
AARS2,AREL1
AARS2,ARF1
AARS2,ARHGAP11A
AARS2,ARHGAP21
AARS2,ARHGAP29
AARS2,ARHGAP31
AARS2,ARHGAP39
AARS2,ARHGEF11
AARS2,ARHGEF26
AARS2,ARHGEF6
AARS2,ARID1A
AARS2,ARID1B
AARS2,ARID2
AARS2,ARID3A
AARS2,ARID3B
AARS2,ARID4B
AARS2,ARID5B
AARS2,ARL13B
AARS2,ARMCX2
AARS2,ARMCX4
AARS2,ARV1
AARS2,ASAP1
AARS2,ASIC1
AARS2,ASPM
AARS2,ASXL2
AARS2,ATAD2
AARS2,ATAD5
AARS2,ATF6
AARS2,ATG2A
AARS2,ATG2B
AARS2,ATG4C
AARS2,ATL1
AARS2,ATP11A
AARS2,ATP13A2
AARS2,ATP13A3
AARS2,ATP2B4
AARS2,ATP5IF1
AARS2,ATP5MF-PTCD1
AARS2,ATP6V1B1
AARS2,ATP7A
AARS2,ATP7B
AARS2,ATP8A1
AARS2,ATP8B2
AARS2,ATRIP
AARS2,AURKA
AARS2,AXIN1
AARS2,AZI2
AARS2,B4GALT3
AARS2,B4GAT1
AARS2,BAHCC1
AARS2,BAP1
AARS2,BAZ2A
AARS2,BBS7
