Bait,Prey
AARS2,AASDH
AARS2,AATF
AARS2,ABCA3
AARS2,ABCB1
AARS2,ABCC5
AARS2,ABCD1
AARS2,ABHD12
AARS2,ABL2
AARS2,ABLIM1
AARS2,ABRAXAS1
AARS2,ACAD11
AARS2,ACBD4
AARS2,ACBD5
AARS2,ACOT1
AARS2,ACOT2
AARS2,ACSS1
AARS2,ACTA1
AARS2,ACTA2
AARS2,ACTC1
AARS2,ADAM17
AARS2,ADAM22
AARS2,ADCK2
AARS2,ADCY3
AARS2,ADCY6
AARS2,ADCY9
AARS2,ADD2
AARS2,ADGRL1
AARS2,ADGRL2
AARS2,ADIPOR1
AARS2,ADIPOR2
AARS2,ADNP2
AARS2,AFF4
AARS2,AFTPH
AARS2,AGAP1
AARS2,AGFG2
AARS2,AGGF1
AARS2,AGTPBP1
AARS2,AIF1L
AARS2,AIFM2
AARS2,AKAP10
AARS2,AKAP17A
AARS2,AKAP5
AARS2,AKT2
AARS2,ALAS1
AARS2,ALDH1L2
AARS2,ALDH2
AARS2,ALDH3B1
AARS2,ALKBH5
AARS2,ALMS1
AARS2,AMER1
AARS2,AMIGO2
AARS2,AMOT
AARS2,AMOTL1
AARS2,ANGEL2
AARS2,ANK2
AARS2,ANKH
AARS2,ANKHD1-EIF4EBP3
AARS2,ANKRD11
AARS2,ANKRD13C
AARS2,ANKRD52
AARS2,ANKS6
AARS2,ANO5
AARS2,ANO8
AARS2,ANTXR2
AARS2,AP1AR
AARS2,AP4E1
AARS2,APBB1
AARS2,APBB2
AARS2,APC
AARS2,APOL2
AARS2,ARAP2
AARS2,ARC
AARS2,AREL1
AARS2,ARF1
AARS2,ARFGAP3
AARS2,ARHGAP11A
AARS2,ARHGAP12
AARS2,ARHGAP21
AARS2,ARHGAP31
AARS2,ARHGAP32
AARS2,ARHGAP39
AARS2,ARHGEF11
AARS2,ARHGEF16
AARS2,ARHGEF26
AARS2,ARHGEF6
AARS2,ARID1B
AARS2,ARID3A
AARS2,ARID3B
AARS2,ARID4B
AARS2,ARID5B
AARS2,ARL13B
AARS2,ARMCX2
AARS2,ARMCX3
AARS2,ARMCX4
AARS2,ARPIN
AARS2,ARV1
AARS2,ARVCF
AARS2,ASIC1
AARS2,ASPM
AARS2,ASXL2
AARS2,ATAD2
AARS2,ATAD5
AARS2,ATF6
AARS2,ATF7IP
AARS2,ATG2A
AARS2,ATG4C
AARS2,ATG9A
AARS2,ATL1
AARS2,ATP11A
AARS2,ATP13A2
AARS2,ATP5ME
AARS2,ATP5MF-PTCD1
AARS2,ATP5PF
AARS2,ATP6V1B1
AARS2,ATP7A
AARS2,ATP7B
AARS2,ATP8A1
AARS2,ATP8B2
AARS2,ATRIP
AARS2,ATRX
AARS2,ATXN3
AARS2,AURKA
AARS2,AURKB
AARS2,AVL9
AARS2,AXIN1
AARS2,AZI2
AARS2,B3GLCT
AARS2,B4GALT3
AARS2,B4GAT1
AARS2,BAHCC1
AARS2,BAP1
AARS2,BASP1
AARS2,BAZ1A
AARS2,BAZ1B
AARS2,BAZ2A
AARS2,BAZ2B
AARS2,BBS7
AARS2,BBX
AARS2,BCAR3
AARS2,BCL11A
AARS2,BCL7C
AARS2,BCL9
AARS2,BCOR
AARS2,BCORL1
AARS2,BDP1
AARS2,BEND3
AARS2,BFSP1
AARS2,BHLHE40
AARS2,BICD1
AARS2,BICRA
AARS2,BMP2K
AARS2,BNIP2
AARS2,BNIP3L
AARS2,BRAF
AARS2,BRCA1
AARS2,BRCA2
AARS2,BRD1
AARS2,BRD7
AARS2,BRD8
AARS2,BRIP1
AARS2,BRPF1
AARS2,BRPF3
AARS2,BRSK2
AARS2,BRWD1
AARS2,BTF3
AARS2,BTN3A2
AARS2,BTN3A3
AARS2,BUB1
AARS2,C10orf12
AARS2,C10orf88
AARS2,C11orf49
AARS2,C12orf73
AARS2,C16orf58
AARS2,C16orf70
AARS2,C17orf80
AARS2,C18orf21
AARS2,C18orf32
AARS2,C19orf44
AARS2,C19orf47
AARS2,C1orf131
AARS2,C1orf174
AARS2,C1orf198
AARS2,C1orf21
AARS2,C1orf226
AARS2,C1orf43
AARS2,C21orf33
AARS2,C2CD3
AARS2,C2CD4C
AARS2,C2CD5
AARS2,C5orf15
AARS2,C6orf132
AARS2,C6orf47
AARS2,C8orf59
AARS2,C9orf72
AARS2,CAAP1
AARS2,CABIN1
AARS2,CABLES1
AARS2,CABYR
AARS2,CACHD1
AARS2,CACTIN
AARS2,CACUL1
AARS2,CADM1
AARS2,CANT1
AARS2,CAPZA3
AARS2,CARD10
AARS2,CARMIL2
AARS2,CASP8AP2
AARS2,CASZ1
AARS2,CAVIN1
AARS2,CBARP
AARS2,CBL
AARS2,CBX2
AARS2,CBX4
AARS2,CBX8
AARS2,CCDC112
AARS2,CCDC14
AARS2,CCDC15
AARS2,CCDC168
AARS2,CCDC174
AARS2,CCDC18
AARS2,CCDC186
AARS2,CCDC57
AARS2,CCDC61
AARS2,CCDC66
AARS2,CCDC71L
AARS2,CCDC77
AARS2,CCDC8
AARS2,CCDC85C
AARS2,CCDC91
AARS2,CCDC92
AARS2,CCDC94
AARS2,CCHCR1
AARS2,CCM2
AARS2,CCNB2
AARS2,CCNY
AARS2,CCP110
AARS2,CCPG1
AARS2,CCSER1
AARS2,CCSER2
AARS2,CCT6B
AARS2,CD3EAP
AARS2,CD99L2
AARS2,CDC40
AARS2,CDC42EP1
AARS2,CDCA2
AARS2,CDCA3
AARS2,CDCA5
AARS2,CDCA8
AARS2,CDK11A
AARS2,CDK11B
AARS2,CDK14
AARS2,CDK16
AARS2,CDK17
AARS2,CDK3
AARS2,CDK5RAP1
AARS2,CDKL5
AARS2,CDKN2A
AARS2,CDR2
AARS2,CDR2L
AARS2,CDYL
AARS2,CELF2
AARS2,CELSR1
AARS2,CELSR2
AARS2,CENPB
AARS2,CENPC
AARS2,CENPH
AARS2,CENPI
AARS2,CENPJ
AARS2,CENPQ
AARS2,CENPT
AARS2,CENPU
AARS2,CENPV
AARS2,CEP104
AARS2,CEP112
AARS2,CEP120
AARS2,CEP128
AARS2,CEP135
AARS2,CEP152
AARS2,CEP162
AARS2,CEP164
AARS2,CEP170B
AARS2,CEP192
AARS2,CEP290
AARS2,CEP295
AARS2,CEP350
AARS2,CEP44
AARS2,CEP55
AARS2,CEP57L1
AARS2,CEP63
AARS2,CEP70
AARS2,CEP72
AARS2,CEP85
AARS2,CEP85L
AARS2,CEP89
AARS2,CEP95
AARS2,CEPT1
AARS2,CERS1
AARS2,CERS4
AARS2,CERS5
AARS2,CFAP36
AARS2,CFAP97
AARS2,CGN
AARS2,CGNL1
AARS2,CHD1
AARS2,CHD2
AARS2,CHD3
AARS2,CHD6
AARS2,CHD7
AARS2,CHD9
AARS2,CHPT1
AARS2,CHTOP
AARS2,CIC
AARS2,CIZ1
AARS2,CKAP2
AARS2,CKAP2L
AARS2,CKB
AARS2,CLASRP
AARS2,CLCN7
AARS2,CLDN1
AARS2,CLEC16A
AARS2,CLMN
AARS2,CLN6
AARS2,CLN8
AARS2,CLSPN
AARS2,CLTCL1
AARS2,CMC4
AARS2,CNNM2
AARS2,CNNM3
AARS2,CNNM4
AARS2,CNTLN
AARS2,CNTROB
AARS2,COBL
AARS2,COBLL1
AARS2,COCH
AARS2,COIL
AARS2,COL18A1
AARS2,COLEC12
AARS2,COQ3
AARS2,COQ6
AARS2,CORO7-PAM16
AARS2,COX15
AARS2,COX2
AARS2,CPEB4
AARS2,CPVL
AARS2,CRACR2A
AARS2,CRMP1
AARS2,CRTC1
AARS2,CRYBG1
AARS2,CRYBG3
AARS2,CSNK1G2
AARS2,CSNK1G3
AARS2,CSPG4
AARS2,CSPP1
AARS2,CSTF2T
AARS2,CTCF
AARS2,CTDSPL2
AARS2,CTIF
AARS2,CTNNA1
AARS2,CTNNA2
AARS2,CTTNBP2
AARS2,CUEDC2
AARS2,CWC25
AARS2,CXADR
AARS2,CXorf57
AARS2,CYLD
AARS2,DAAM1
AARS2,DAB2IP
AARS2,DACH1
AARS2,DAPK1
AARS2,DCAF13
AARS2,DCBLD1
AARS2,DCDC2
AARS2,DCLK1
AARS2,DCLK2
AARS2,DCP1B
AARS2,DDHD2
AARS2,DDX52
AARS2,DDX55
AARS2,DECR2
AARS2,DENND1A
AARS2,DENND2C
AARS2,DENND4A
AARS2,DENND5A
AARS2,DENND5B
AARS2,DENND6A
AARS2,DEPDC1
AARS2,DEPDC1B
AARS2,DES
AARS2,DGKD
AARS2,DGKH
AARS2,DHRS1
AARS2,DHRS13
AARS2,DHTKD1
AARS2,DHX33
AARS2,DHX8
AARS2,DICER1
AARS2,DIP2A
AARS2,DIXDC1
AARS2,DLG3
AARS2,DLG5
