,NMF ARI,Mean NMF Cosine similarity,Mean NMF KL divergence,Mean NMF GO Jaccard index,Min NMF purity score,Min NMF Cosine similarity,Max NMF KL divergence,Min NMF GO Jaccard index,Remaining preys percentage,GO terms retrieval percentage,Mean GMM  Pearson correlation,GMM ARI,Leiden ARI,Overall Score
GENBAIT,1.0,1.0,0.9481362560660692,1.0,1.0,1.0,1.0,1.0,0.6483839754706072,0.6686766044563299,0.7429579594143858,0.8629847556696658,0.7155075874849532,1.0
Random,0.0,0.0,0.0,0.0,0.004065884538802438,0.007942217486897095,0.02743345417749617,0.023686342162131963,0.0,0.0,0.0,0.0,0.0,0.0
Chi-Squared,0.7981682913727993,0.8650843383055836,0.8173257773345192,0.7415603868846645,0.0,0.0,0.024667289307905665,0.07088891499874846,0.5784030762270973,0.5127508527008816,0.8314081279203154,1.0,0.8095907244101828,0.6063008821754802
ANOVA F,0.7279110165229389,0.7597917083207724,0.6856379011150083,0.6343526591984183,0.0005845707733631626,0.0012773427254932752,0.016369532267538758,0.062424872178671965,0.4355439945713641,0.3896446418656317,0.7899657409619083,0.9727012057685596,0.6468349436739217,0.5258733990255247
Mutual Info,0.5538441032595657,0.5852830702779777,0.5296932855487088,0.39106399373171147,0.005957410588889462,0.007983150401031808,0.0,0.0,0.3765935308753684,0.38645197112715235,0.7156720167233165,0.860789624519902,0.5637456759823541,0.426427884767152
Lasso,0.7601220745728144,0.9132484594946338,0.9577805844480486,0.7691497458875947,0.016153708928922414,0.0169034865768752,0.09587537252054829,0.16359342134809768,0.880124406242932,0.8781034345998274,0.8067585515891962,0.7499969313744409,0.862216665842142,0.6774752384521985
Ridge,0.6279741700376008,0.8193255000684788,0.9033922825451678,0.6799359627262759,0.022637409270243162,0.0038740665979393662,0.1040554506894154,0.1208774258713391,0.9833250395838049,1.0,0.7216264851758084,0.3936422304448174,0.7986294326854201,0.617534227956001
ElasticNet,0.6787424036679449,0.8696107154167999,0.9411733487170582,0.7201150259570853,0.028282081017251725,0.01894925155558343,0.1454955749541285,0.1885622021344991,0.9491087989142727,0.9593479812802436,0.7794746207200327,0.5637128447035544,0.8280501309965513,0.6601713350842492
RF,0.7806698550307352,0.9375195502677691,0.9915601516948186,0.8034250381429717,0.015756202650733936,0.00498539664316347,0.09497077865287441,0.10720117979403175,0.934546482696223,0.8954549060045991,0.9535682282392228,0.9149178232951429,1.0,0.7264662400653982
GBM,0.7106371811096488,0.956449039000364,1.0,0.7389112375360479,0.02472501409097364,0.012618989940399058,0.12864891579953963,0.14278025741217032,1.0,0.9562941223130018,1.0,0.8276748678992455,0.9078482722240337,0.7240374945403996
XGB,0.6927382878577677,0.9310007876883425,0.9332118363628749,0.7640670770808924,0.049584321165276134,0.0549102240217117,0.3543843069341117,0.3906319213062508,0.9156751866093652,0.8996390893947831,0.8724897141247653,0.6998882017180801,0.7821374435398756,0.7182901617906694
Neural Network,0.6202325442523537,0.7675276089433264,0.7899091165543239,0.5143293881525082,0.013157192810954456,0.010678097422717725,0.025693467124409584,0.05312537926995297,0.709683329563446,0.728345363686843,0.8201554505455589,0.7618152290404355,0.7411782315287287,0.5634305254493952
