Method,Bait Length,Runtimes
Chi-squared,30,"[0.0018689632415771484, 0.0014400482177734375, 0.001361846923828125]"
F-classif,30,"[0.002856016159057617, 0.002459287643432617, 0.0037279129028320312]"
Mutual Information,30,"[1.7867250442504883, 1.7318007946014404, 1.7515442371368408]"
Lasso,30,"[6.667813062667847, 6.701419115066528, 6.689766883850098]"
Ridge,30,"[1.0117440223693848, 1.0820021629333496, 1.0100948810577393]"
Elastic Net,30,"[2.315398931503296, 2.0969951152801514, 2.1613712310791016]"
Random Forest,30,"[0.4102449417114258, 0.4056220054626465, 0.40413498878479004]"
Gradient Boosting Machine,30,"[17.729898929595947, 17.65334701538086, 17.692622900009155]"
XGBoost,30,"[3.413031816482544, 3.3505430221557617, 3.3835790157318115]"
Neural Network,30,"[4.476438045501709, 4.172467947006226, 4.2166588306427]"
GENBAIT,30,"[177.08772611618042, 180.5949821472168, 179.71762681007385]"
Chi-squared,60,"[0.001786947250366211, 0.0014140605926513672, 0.001363992691040039]"
F-classif,60,"[0.006195068359375, 0.00732111930847168, 0.004102945327758789]"
Mutual Information,60,"[1.8183951377868652, 1.7581939697265625, 1.7671701908111572]"
Lasso,60,"[6.680437088012695, 6.676292181015015, 6.6614909172058105]"
Ridge,60,"[1.0197691917419434, 1.0480210781097412, 1.1132490634918213]"
Elastic Net,60,"[2.1317830085754395, 2.262465000152588, 2.1279361248016357]"
Random Forest,60,"[0.4181060791015625, 0.4177238941192627, 0.4144761562347412]"
Gradient Boosting Machine,60,"[17.866801261901855, 17.880194902420044, 17.893396139144897]"
XGBoost,60,"[3.344759702682495, 3.3844830989837646, 3.3414478302001953]"
Neural Network,60,"[4.182487964630127, 4.298732757568359, 4.309128284454346]"
GENBAIT,60,"[768.4702808856964, 775.1030719280243, 764.3473000526428]"
Chi-squared,90,"[0.0016858577728271484, 0.0014469623565673828, 0.0013549327850341797]"
F-classif,90,"[0.002540111541748047, 0.0024619102478027344, 0.002902984619140625]"
Mutual Information,90,"[1.8374028205871582, 1.757599115371704, 1.750364065170288]"
Lasso,90,"[6.6660847663879395, 6.653331995010376, 6.632852077484131]"
Ridge,90,"[1.0181849002838135, 1.0335381031036377, 1.0881798267364502]"
Elastic Net,90,"[2.1212620735168457, 2.253774881362915, 2.1161367893218994]"
Random Forest,90,"[0.4181220531463623, 0.41500091552734375, 0.411175012588501]"
Gradient Boosting Machine,90,"[17.818317890167236, 17.75651526451111, 17.78783369064331]"
XGBoost,90,"[3.337934732437134, 3.304111957550049, 3.3265459537506104]"
Neural Network,90,"[4.181655645370483, 4.289528131484985, 4.174074172973633]"
GENBAIT,90,"[1613.2720079421997, 1664.0876920223236, 1817.1544420719147]"
