Chi2_30,F_classif_30,Mutual_Info_30,Lasso_30,Ridge_30,Elastic_Net_30,Random_Forest_30,Gradient_Boosting_30,XGBoost_30,Neural_Network_30,GENBAIT_30,Chi2_60,F_classif_60,Mutual_Info_60,Lasso_60,Ridge_60,Elastic_Net_60,Random_Forest_60,Gradient_Boosting_60,XGBoost_60,Neural_Network_60,GENBAIT_60,Chi2_90,F_classif_90,Mutual_Info_90,Lasso_90,Ridge_90,Elastic_Net_90,Random_Forest_90,Gradient_Boosting_90,XGBoost_90,Neural_Network_90,GENBAIT_90
PDHA1,PDHA1,CYP2C1_sigseq,AKAP1_target,CYP2C1_sigseq,RHOB,CYP2C1_sigseq,PDHA1,LRRC59_Cterm,CYP2C1_sigseq,AARS2,PDHA1,PDHA1,CYP2C1_sigseq,AKAP1_target,CYP2C1_sigseq,RHOB,CYP2C1_sigseq,PDHA1,LRRC59_Cterm,CYP2C1_sigseq,AARS2,PDHA1,PDHA1,CYP2C1_sigseq,AKAP1_target,CYP2C1_sigseq,RHOB,CYP2C1_sigseq,PDHA1,LRRC59_Cterm,CYP2C1_sigseq,AARS2
SFXN1,AKAP1_target,HIST1H2BG,TERF2IP,RHOB,CYP2C1_sigseq,TERF2IP,TERF2IP,SFXN1,KRAS_target,ACTB,SFXN1,AKAP1_target,HIST1H2BG,TERF2IP,RHOB,CYP2C1_sigseq,TERF2IP,TERF2IP,SFXN1,KRAS_target,ACTB,SFXN1,AKAP1_target,HIST1H2BG,TERF2IP,RHOB,CYP2C1_sigseq,TERF2IP,TERF2IP,SFXN1,TERF2IP,ACTB
AKAP1_target,CYP2C1_sigseq,RHOB,CYP2C1_sigseq,HIST1H2BG,AKAP1_target,AKAP1_target,CYP2C1_sigseq,TMPO,TERF2IP,ACTR2,AKAP1_target,CYP2C1_sigseq,RHOB,CYP2C1_sigseq,HIST1H2BG,AKAP1_target,AKAP1_target,CYP2C1_sigseq,TMPO,TERF2IP,AIFM1,AKAP1_target,CYP2C1_sigseq,RHOB,CYP2C1_sigseq,HIST1H2BG,AKAP1_target,AKAP1_target,CYP2C1_sigseq,TMPO,HIST1H2BG,AIFM1
LRRC59_Cterm,SFXN1,PDHA1,HIST1H2BG,AKAP1_target,HIST1H2BG,HIST1H2BG,KRAS_target,PDHA1,HIST1H2BG,AIFM1,LRRC59_Cterm,SFXN1,PDHA1,HIST1H2BG,AKAP1_target,HIST1H2BG,HIST1H2BG,KRAS_target,PDHA1,HIST1H2BG,AKAP1_target,LRRC59_Cterm,SFXN1,PDHA1,HIST1H2BG,AKAP1_target,HIST1H2BG,HIST1H2BG,KRAS_target,PDHA1,KRAS_target,AKAP1
CYP2C1_sigseq,CS,KRAS_target,RHOB,TERF2IP,TERF2IP,COIL,COIL,CEP135,KRAS_Q61H,AKAP1_target,CYP2C1_sigseq,CS,KRAS_target,RHOB,TERF2IP,TERF2IP,COIL,COIL,CEP135,COIL,BORCS6,CYP2C1_sigseq,CS,KRAS_target,RHOB,TERF2IP,TERF2IP,COIL,COIL,CEP135,RHOB,AKAP1_target
CS,LRRC59_Cterm,CS,DDX23,CBX3,COIL,KRAS_target,HIST1H2BG,ACTR1A,RHOB,ATP2A1,CS,LRRC59_Cterm,CS,DDX23,CBX3,COIL,KRAS_target,HIST1H2BG,ACTR1A,RHOB,CBX3,CS,LRRC59_Cterm,CS,DDX23,CBX3,COIL,KRAS_target,HIST1H2BG,ACTR1A,KRAS_Q61H,ARF6
AARS2,AARS2,TERF2IP,CBX3,COIL,KRAS_Q61H,PDHA1,AKAP1_target,RAB11A,COIL,CBX3,AARS2,AARS2,TERF2IP,CBX3,COIL,KRAS_Q61H,PDHA1,AKAP1_target,RAB11A,KRAS_Q61H,CD3EAP,AARS2,AARS2,TERF2IP,CBX3,COIL,KRAS_Q61H,PDHA1,AKAP1_target,RAB11A,COIL,ASF1A
HIST1H2BG,HIST1H2BG,KRAS_Q61H,COIL,KRAS_Q61H,CBX3,RHOB,RAB11A,HNRNPA1,RAB11A,COIL,HIST1H2BG,HIST1H2BG,KRAS_Q61H,COIL,KRAS_Q61H,CBX3,RHOB,RAB11A,HNRNPA1,CD3EAP,CENPA,HIST1H2BG,HIST1H2BG,KRAS_Q61H,COIL,KRAS_Q61H,CBX3,RHOB,RAB11A,HNRNPA1,RAB11A,BCAP31
SEC61B_Cterm,SEC61B_Cterm,AKAP1_target,SYNE3_Nterm,HNRNPA1,DDX23,CBX3,LRRC59_Cterm,KRAS_target,CBX3,DERL1,SEC61B_Cterm,SEC61B_Cterm,AKAP1_target,SYNE3_Nterm,HNRNPA1,DDX23,CBX3,LRRC59_Cterm,KRAS_target,PDHA1,COIL,SEC61B_Cterm,SEC61B_Cterm,AKAP1_target,SYNE3_Nterm,HNRNPA1,DDX23,CBX3,LRRC59_Cterm,KRAS_target,AKAP1_target,C11orf52
KRAS_target,KRAS_target,GJD3,MAPRE3,CENPA,MAPRE3,RAB11A,OCLN,SEC61B_Nterm,PDHA1,DHX8,KRAS_target,KRAS_target,GJD3,MAPRE3,CENPA,MAPRE3,RAB11A,OCLN,SEC61B_Nterm,AKAP1_target,CYP2C1_sigseq,KRAS_target,KRAS_target,GJD3,MAPRE3,CENPA,MAPRE3,RAB11A,OCLN,SEC61B_Nterm,SEC61B_Cterm,CALR3
RPL31,RHOB,AARS2,KRAS_target,KRAS_target,SYNE3_Nterm,HNRNPA1,HNRNPA1,RAB9A,LAMP1,HIST1H3A,RPL31,RHOB,AARS2,KRAS_target,KRAS_target,SYNE3_Nterm,HNRNPA1,HNRNPA1,RAB9A,CBX3,DCTN1,RPL31,RHOB,AARS2,KRAS_target,KRAS_target,SYNE3_Nterm,HNRNPA1,HNRNPA1,RAB9A,CBX3,CAMSAP2
PDIA4,TERF2IP,SSR1,DCTN1,CD3EAP,HNRNPA1,SFXN1,RHOB,ACTB,CD3EAP,KRAS_target,PDIA4,TERF2IP,SSR1,DCTN1,CD3EAP,HNRNPA1,SFXN1,RHOB,ACTB,CS,DDX23,PDIA4,TERF2IP,SSR1,DCTN1,CD3EAP,HNRNPA1,SFXN1,RHOB,ACTB,LAMTOR1_target_peptide,CBX3
TERF2IP,PDIA4,CBX3,SV40_NLS,SFXN1,RAB11A,CS,DHX8,CS,AKAP1_target,LAMTOR1_target_peptide,TERF2IP,PDIA4,CBX3,SV40_NLS,SFXN1,RAB11A,CS,DHX8,CS,RAB11A,DERL1,TERF2IP,PDIA4,CBX3,SV40_NLS,SFXN1,RAB11A,CS,DHX8,CS,CD3EAP,CD3EAP
RHOB,RPL31,LAMP2,KRAS_Q61H,RAB11A,CENPA,SYNE3_Nterm,SEC61B_Nterm,OCLN,SEC61B_Cterm,LRRC59_Cterm,RHOB,RPL31,LAMP2,KRAS_Q61H,RAB11A,CENPA,SYNE3_Nterm,SEC61B_Nterm,OCLN,SEC61B_Cterm,DHX40,RHOB,RPL31,LAMP2,KRAS_Q61H,RAB11A,CENPA,SYNE3_Nterm,SEC61B_Nterm,OCLN,SV40_NLS,CENPA
COIL,SEC61B_Nterm,TRAP1,DHX8,COX4I1,CD3EAP,SV40_NLS,CEP135,RPS20,ARF6,LYN,COIL,SEC61B_Nterm,TRAP1,DHX8,COX4I1,CD3EAP,SV40_NLS,CEP135,RPS20,LAMP1,DHX8,COIL,SEC61B_Nterm,TRAP1,DHX8,COX4I1,CD3EAP,SV40_NLS,CEP135,RPS20,PDHA1,CEP135
CBX3,COIL,LAMP1,SFXN1,PDHA1,KRAS_target,KRAS_Q61H,SYNE3_Nterm,AKAP1_target,LAMTOR1_target_peptide,MLLT4,CBX3,COIL,LAMP1,SFXN1,PDHA1,KRAS_target,KRAS_Q61H,SYNE3_Nterm,AKAP1_target,SV40_NLS,EMD,CBX3,COIL,LAMP1,SFXN1,PDHA1,KRAS_target,KRAS_Q61H,SYNE3_Nterm,AKAP1_target,RAB9A,COIL
COX8A_target,COX8A_target,SEC61B_Nterm,CENPA,SV40_NLS,DCTN1,DDX23,RPS20,SEC61B_Cterm,SV40_NLS,PANX1,COX8A_target,COX8A_target,SEC61B_Nterm,CENPA,SV40_NLS,DCTN1,DDX23,RPS20,SEC61B_Cterm,LAMTOR1_target_peptide,EZR,COX8A_target,COX8A_target,SEC61B_Nterm,CENPA,SV40_NLS,DCTN1,DDX23,RPS20,SEC61B_Cterm,LAMP1,COX4I1
DCTN1,CALR3,CENPA,TRIM36_Nterm,DDX23,COX4I1,AARS2,LAMP2,CYP2C1_sigseq,CS,PHB2,DCTN1,CALR3,CENPA,TRIM36_Nterm,DDX23,COX4I1,AARS2,LAMP2,CYP2C1_sigseq,ARF6,FBL,DCTN1,CALR3,CENPA,TRIM36_Nterm,DDX23,COX4I1,AARS2,LAMP2,CYP2C1_sigseq,LAMP2,COX8A_target
