Method 1,Method 2,P-value,Adjusted P-value
GA,Random,0.0,0.0
GA,chi_2,5.508135375419441e-54,6.99109489957083e-54
GA,f_classif,1.9176023482953112e-07,2.074782868647386e-07
GA,mutual_info_classif,2.702117527065018e-07,2.8764476901014707e-07
GA,lasso,0.0,0.0
GA,ridge,0.0,0.0
GA,elastic_net,0.0,0.0
GA,rf,4.079024743869074e-170,6.2608286766362536e-170
GA,gbm,0.0,0.0
GA,xgb,0.0,0.0
GA,nn,5.401698697097821e-29,6.366287750151003e-29
Random,chi_2,0.0,0.0
Random,f_classif,0.0,0.0
Random,mutual_info_classif,0.0,0.0
Random,lasso,0.0,0.0
Random,ridge,0.0,0.0
Random,elastic_net,0.0,0.0
Random,rf,0.0,0.0
Random,gbm,0.0,0.0
Random,xgb,0.0,0.0
Random,nn,0.0,0.0
chi_2,f_classif,8.508467673399407e-26,9.682049421454498e-26
chi_2,mutual_info_classif,4.972646288315557e-26,5.757800965418014e-26
chi_2,lasso,8.46034950893625e-236,1.3959576689744813e-235
chi_2,ridge,0.0,0.0
chi_2,elastic_net,0.0,0.0
chi_2,rf,6.1375264521326325e-33,7.365031742559159e-33
chi_2,gbm,7.721764176112071e-204,1.243015696642431e-203
chi_2,xgb,0.0,0.0
chi_2,nn,8.090290474823653e-06,8.475542402196207e-06
f_classif,mutual_info_classif,0.9632100448163221,0.9632100448163221
f_classif,lasso,0.0,0.0
f_classif,ridge,0.0,0.0
f_classif,elastic_net,0.0,0.0
f_classif,rf,3.000063426444082e-113,4.1250872113606127e-113
f_classif,gbm,0.0,0.0
f_classif,xgb,0.0,0.0
f_classif,nn,3.157175553702215e-09,3.4728931090724365e-09
mutual_info_classif,lasso,0.0,0.0
mutual_info_classif,ridge,0.0,0.0
mutual_info_classif,elastic_net,0.0,0.0
mutual_info_classif,rf,3.557861435454701e-116,4.9961458455321337e-116
mutual_info_classif,gbm,0.0,0.0
mutual_info_classif,xgb,0.0,0.0
mutual_info_classif,nn,6.406219879273683e-10,7.166279864950221e-10
lasso,ridge,0.0,0.0
lasso,elastic_net,2.203323569210882e-145,3.231541234842628e-145
lasso,rf,5.0424086920365766e-105,6.791815789273756e-105
lasso,gbm,0.017344554015135866,0.017886571328108863
lasso,xgb,4.0989704674797486e-138,5.881131540297031e-138
lasso,nn,3.397443374693409e-295,5.900822703414867e-295
ridge,elastic_net,2.2554454105787893e-53,2.8086678697773605e-53
ridge,rf,0.0,0.0
ridge,gbm,0.0,0.0
ridge,xgb,5.9338446056641866e-49,7.252476740256228e-49
ridge,nn,0.0,0.0
elastic_net,rf,0.0,0.0
elastic_net,gbm,5.746530030731196e-172,9.030261476863308e-172
elastic_net,xgb,0.8444406418722757,0.8574320363626184
elastic_net,nn,0.0,0.0
rf,gbm,1.575395207839395e-82,2.0795216743480014e-82
rf,xgb,0.0,0.0
rf,nn,1.3292656443524217e-62,1.720226127985487e-62
gbm,xgb,6.767817341334412e-164,1.0151726012001618e-163
gbm,nn,1.7683511404676506e-257,2.9925942377144853e-257
xgb,nn,0.0,0.0
