Method 1,Method 2,P-value,Adjusted P-value
GA,Random,1.2283049004222417e-305,6.75567695232233e-305
GA,chi_2,0.13606003800587632,0.13606003800587632
GA,f_classif,4.930285380042675e-31,6.779142397558678e-31
GA,mutual_info_classif,2.5750523614077648e-55,3.952405950067732e-55
GA,lasso,4.060691760193325e-132,7.882519299198808e-132
GA,ridge,9.200489088369468e-227,2.8915822849161185e-226
GA,elastic_net,2.4116452474950158e-197,6.920373318898741e-197
GA,rf,5.35443042329617e-168,1.2621157426340972e-167
GA,gbm,1.6294280880801786e-228,5.660118621752198e-228
GA,xgb,7.242257612628493e-100,1.2578657958775802e-99
GA,nn,9.51268409175102e-16,1.1415220910101225e-15
Random,chi_2,9.066820999402944e-263,3.740063662253714e-262
Random,f_classif,1.6271307805912122e-189,4.2956252607608e-189
Random,mutual_info_classif,5.176195633060638e-189,1.2652922658592669e-188
Random,lasso,0.0,0.0
Random,ridge,0.0,0.0
Random,elastic_net,0.0,0.0
Random,rf,0.0,0.0
Random,gbm,0.0,0.0
Random,xgb,0.0,0.0
Random,nn,0.0,0.0
chi_2,f_classif,4.829629385056825e-20,6.129914219495201e-20
chi_2,mutual_info_classif,2.0937778264521576e-34,2.9401986499115402e-34
chi_2,lasso,2.0292868517436908e-112,3.7203592281967666e-112
chi_2,ridge,9.414454150221231e-195,2.5889748913108385e-194
chi_2,elastic_net,8.309590832860992e-167,1.8911482585131912e-166
chi_2,rf,3.3205025529601694e-136,6.641005105920339e-136
chi_2,gbm,2.6513852089096586e-189,6.73043937646298e-189
chi_2,xgb,2.5724537069591244e-85,4.244548616482555e-85
chi_2,nn,1.2497954581532547e-15,1.4729732185377644e-15
f_classif,mutual_info_classif,0.03236050791049995,0.03390148447766661
f_classif,lasso,2.2620041881977985e-197,6.786012564593396e-197
f_classif,ridge,1.0287517744798016e-277,5.222893624282069e-277
f_classif,elastic_net,4.6784630497647805e-254,1.8163444781439736e-253
f_classif,rf,6.6853130503630895e-227,2.2061533066198194e-226
f_classif,gbm,2.9250284165857936e-276,1.3789419678190169e-275
f_classif,xgb,6.821144739201952e-166,1.5006518426244295e-165
f_classif,nn,1.9016187305355316e-67,2.988258005127264e-67
mutual_info_classif,lasso,7.041249442716183e-263,3.098149754795121e-262
mutual_info_classif,ridge,0.0,0.0
mutual_info_classif,elastic_net,0.0,0.0
mutual_info_classif,rf,4.459570514899564e-306,2.6757423089397384e-305
mutual_info_classif,gbm,0.0,0.0
mutual_info_classif,xgb,4.171472646411123e-229,1.5295399703507454e-228
mutual_info_classif,nn,1.470092857797104e-107,2.6223278003948345e-107
lasso,ridge,7.838266499739523e-28,1.034651177965617e-27
lasso,elastic_net,1.1825634439874355e-12,1.3692839877749253e-12
lasso,rf,0.10148103351695291,0.10465231581435769
lasso,gbm,1.0499389201267888e-19,1.3074711080824163e-19
lasso,xgb,5.870901070798618e-05,6.352122470044406e-05
lasso,nn,3.8121451594528163e-69,6.136623915216728e-69
ridge,elastic_net,3.323783527751253e-05,3.656161880526378e-05
ridge,rf,2.236793234426353e-25,2.8946735974929274e-25
ridge,gbm,0.007827331285372836,0.00833232040055818
ridge,xgb,6.994228754154571e-49,1.0491343131231857e-48
ridge,nn,1.2737847251595912e-157,2.7119287696946132e-157
elastic_net,rf,4.1194394024750904e-10,4.687637940747516e-10
elastic_net,gbm,0.10797080143209448,0.10963189068489593
elastic_net,xgb,2.986531284995161e-28,4.0226747920342987e-28
elastic_net,nn,2.962256338571494e-126,5.5859690955919596e-126
rf,gbm,9.06316950686456e-17,1.1077207175056684e-16
rf,xgb,1.5030685891427042e-09,1.6813987607359065e-09
rf,nn,9.800778633323563e-93,1.6585933071778337e-92
gbm,xgb,9.171913972679086e-40,1.3159702656452602e-39
gbm,nn,1.955923690869302e-152,4.034092612417935e-152
xgb,nn,4.83997898882121e-44,7.098635850271108e-44
