Method 1,Method 2,P-value,Adjusted P-value
GA,Random,0.0,0.0
GA,chi_2,1.208017487561451e-164,2.277975833687308e-164
GA,f_classif,0.00025038694452461104,0.0002623101323591163
GA,mutual_info_classif,3.5261222020456916e-271,8.024967770172953e-271
GA,lasso,1.4146354452905664e-164,2.5934983163660386e-164
GA,ridge,2.6571707907739457e-16,2.972428342221702e-16
GA,elastic_net,1.1731358391374592e-25,1.3583678137381107e-25
GA,rf,0.0,0.0
GA,gbm,4.736141483858439e-68,6.3792926109113665e-68
GA,xgb,2.42412963868058e-75,3.404096939423793e-75
GA,nn,0.0002950004931449774,0.0003042192585557579
Random,chi_2,0.0,0.0
Random,f_classif,0.0,0.0
Random,mutual_info_classif,0.0,0.0
Random,lasso,0.0,0.0
Random,ridge,0.0,0.0
Random,elastic_net,0.0,0.0
Random,rf,0.0,0.0
Random,gbm,0.0,0.0
Random,xgb,0.0,0.0
Random,nn,0.0,0.0
chi_2,f_classif,2.368730245003565e-236,4.885506130319853e-236
chi_2,mutual_info_classif,0.0,0.0
chi_2,lasso,0.7718853834640568,0.7718853834640568
chi_2,ridge,3.441894371028037e-284,8.113036731708944e-284
chi_2,elastic_net,9.796158375968729e-67,1.2930929056278724e-66
chi_2,rf,1.2542590194698166e-94,1.881388529204725e-94
chi_2,gbm,9.394077495198255e-29,1.1071591333626514e-28
chi_2,xgb,0.0,0.0
chi_2,nn,9.276987146278391e-121,1.5307028791359346e-120
f_classif,mutual_info_classif,1.1224258534146342e-227,2.2448517068292685e-227
f_classif,lasso,1.287611218620092e-250,2.832744680964202e-250
f_classif,ridge,0.000506015778667591,0.0005138006368009385
f_classif,elastic_net,9.8283820703155e-58,1.2719082679231824e-57
f_classif,rf,0.0,0.0
f_classif,gbm,1.2017881512302304e-124,2.033795332851159e-124
f_classif,xgb,2.886597601300251e-35,3.594630975204086e-35
f_classif,nn,2.7805541653090187e-15,3.0586095818399205e-15
mutual_info_classif,lasso,0.0,0.0
mutual_info_classif,ridge,1.7456326400016995e-143,3.031888269476636e-143
mutual_info_classif,elastic_net,0.0,0.0
mutual_info_classif,rf,0.0,0.0
mutual_info_classif,gbm,0.0,0.0
mutual_info_classif,xgb,3.80153423438241e-91,5.575583543760868e-91
mutual_info_classif,nn,1.2075109108214857e-306,3.065220004393002e-306
lasso,ridge,1.631445838244414e-295,3.987978715708567e-295
lasso,elastic_net,4.1195816947202656e-70,5.664424830240365e-70
lasso,rf,1.3114888746220058e-101,2.0129829238384276e-101
lasso,gbm,1.822227487871997e-33,2.186672985446396e-33
lasso,xgb,0.0,0.0
lasso,nn,3.538908816858188e-113,5.561142426491438e-113
ridge,elastic_net,4.632670339325967e-82,6.646874834685082e-82
ridge,rf,0.0,0.0
ridge,gbm,8.947069945311639e-148,1.5959638280826168e-147
ridge,xgb,3.7218270799447e-24,4.235182539247418e-24
ridge,nn,8.020880531667376e-38,1.0180348367116285e-37
elastic_net,rf,0.0,0.0
elastic_net,gbm,1.0490926167147162e-09,1.1350838148060864e-09
elastic_net,xgb,5.9725343552185004e-210,1.1593743160130031e-209
elastic_net,nn,9.640633060946013e-09,1.0262609387458658e-08
rf,gbm,5.852985467593364e-249,1.2461194866489098e-248
rf,xgb,0.0,0.0
rf,nn,0.0,0.0
gbm,xgb,0.0,0.0
gbm,nn,1.1000738984272555e-33,1.3445347647444233e-33
xgb,nn,6.63483300978237e-119,1.0680462893796012e-118
