Method 1,Method 2,P-value,Adjusted P-value
Mutual Info,Neural Network,1.1983830688997603e-05,1.5651763067916142e-05
Mutual Info,GENBAIT,8.155466652414045e-108,3.3641299941207934e-107
Mutual Info,Ridge,0.003846365975936602,0.004453686919505539
Mutual Info,ElasticNet,0.654268011272713,0.654268011272713
Mutual Info,Chi-Squared,6.950880956822243e-17,1.3901761913644486e-16
Mutual Info,Lasso,7.1175260701179e-07,1.0676289105176852e-06
Mutual Info,ANOVA F,1.1277051663098382e-06,1.618011760357594e-06
Mutual Info,XGB,0.16639739616683835,0.17713271204856984
Mutual Info,Random,0.0,0.0
Mutual Info,RF,4.569836075249739e-16,8.870858263720081e-16
Mutual Info,GBM,2.7130313194402815e-05,3.4434628285203577e-05
Neural Network,GENBAIT,7.260700409844587e-100,2.6622568169430156e-99
Neural Network,Ridge,4.640197455680047e-19,9.879130066931714e-19
Neural Network,ElasticNet,1.0170298869906943e-06,1.4916438342530185e-06
Neural Network,Chi-Squared,3.538180501109236e-10,5.987690078800245e-10
Neural Network,Lasso,0.40336459351275167,0.4225724312990732
Neural Network,ANOVA F,0.07207114654784774,0.08062196054505001
Neural Network,XGB,3.834314376874245e-05,4.774806582522645e-05
Neural Network,Random,0.0,0.0
Neural Network,RF,1.3216852865582019e-06,1.855983593890241e-06
Neural Network,GBM,0.6062987703998357,0.6252456069748306
GENBAIT,Ridge,4.613292275061854e-147,2.5373107512840194e-146
GENBAIT,ElasticNet,4.873107286382257e-128,2.2973220064373497e-127
GENBAIT,Chi-Squared,2.8151594681047504e-74,8.84764404261493e-74
GENBAIT,Lasso,1.5211101324621424e-100,5.905486396617729e-100
GENBAIT,ANOVA F,2.1640376022488796e-93,7.517183249917161e-93
GENBAIT,XGB,3.5765058101471625e-133,1.8157644882285596e-132
GENBAIT,Random,0.0,0.0
GENBAIT,RF,1.6812481374568556e-85,5.548118853607623e-85
GENBAIT,GBM,4.7528487584011055e-114,2.0912534536964866e-113
Ridge,ElasticNet,2.1769286886510754e-06,2.9932769468952285e-06
Ridge,Chi-Squared,4.767953502333808e-52,1.4303860507001425e-51
Ridge,Lasso,3.6892317227909467e-26,8.696046203721517e-26
Ridge,ANOVA F,2.753434513580616e-26,6.730617699863728e-26
Ridge,XGB,1.2027070216806228e-07,1.889968176926693e-07
Ridge,Random,0.0,0.0
Ridge,RF,6.9444275520922335e-50,1.9927487758177712e-49
Ridge,GBM,1.4560317744121505e-22,3.203269903706731e-22
ElasticNet,Chi-Squared,1.916427742522721e-33,5.270176291937483e-33
ElasticNet,Lasso,4.5853354407675926e-10,7.565803477266528e-10
ElasticNet,ANOVA F,4.643961092470906e-13,8.75718377437371e-13
ElasticNet,XGB,0.6192830711762594,0.6288105030405094
ElasticNet,Random,0.0,0.0
ElasticNet,RF,1.5418190390328165e-26,3.913848329852534e-26
ElasticNet,GBM,6.087759055397989e-07,9.344002271075984e-07
Chi-Squared,Lasso,4.082344161663926e-12,7.484297629717198e-12
Chi-Squared,ANOVA F,0.00015281970623643972,0.00018677964095564854
Chi-Squared,XGB,4.935750452561096e-31,1.3030381194761294e-30
Chi-Squared,Random,0.0,0.0
Chi-Squared,RF,0.0003307930146505356,0.00039695161758064265
Chi-Squared,GBM,1.1114959976387682e-17,2.2924604951299593e-17
Lasso,ANOVA F,0.03742675900458739,0.04258907059142703
Lasso,XGB,3.0201238901846444e-09,4.861662847614305e-09
Lasso,Random,0.0,0.0
Lasso,RF,1.2094544188844293e-05,1.5651763067916142e-05
Lasso,GBM,0.08590696396763801,0.09449766036440183
ANOVA F,XGB,1.0956447532193337e-10,1.9543933435804333e-10
ANOVA F,Random,0.0,0.0
ANOVA F,RF,0.16003668730721266,0.17315444856190224
ANOVA F,GBM,0.0005822241904800832,0.0006861927959229552
XGB,Random,0.0,0.0
XGB,RF,9.193857013972128e-26,2.092395044559174e-25
XGB,GBM,8.664741065523342e-06,1.1670875720908991e-05
Random,RF,0.0,0.0
Random,GBM,0.0,0.0
RF,GBM,1.1373978538932792e-10,1.9754804830778007e-10
