Method 1,Method 2,P-value,Adjusted P-value
ANOVA F,RF,4.89970689651074e-05,5.988530651290904e-05
ANOVA F,GBM,2.4557147024013687e-22,5.402572345283012e-22
ANOVA F,Chi-Squared,0.8943715691934546,0.8943715691934546
ANOVA F,Lasso,8.884937053605124e-15,1.5431732777314163e-14
ANOVA F,XGB,7.024561228204825e-32,1.8544841642460737e-31
ANOVA F,Neural Network,7.379746604300922e-43,2.2365354828848465e-42
ANOVA F,Mutual Info,3.846812402074877e-16,7.052489403803942e-16
ANOVA F,Ridge,0.17642966665324677,0.18781222579216592
ANOVA F,Random,8.506343035482153e-41,2.4409506101818353e-40
ANOVA F,ElasticNet,6.049692511541006e-08,9.07453876731151e-08
ANOVA F,GENBAIT,0.0,0.0
RF,GBM,1.3458051798463748e-14,2.2775164582015573e-14
RF,Chi-Squared,0.0002752942287854466,0.00033035307454253596
RF,Lasso,4.342404565212842e-06,5.970806277167658e-06
RF,XGB,4.4061705670412505e-19,9.08772679452258e-19
RF,Neural Network,2.158224054539331e-31,5.47856875383061e-31
RF,Mutual Info,1.437529760351104e-07,2.0186588124079334e-07
RF,Ridge,0.08056938241822224,0.09012846168818081
RF,Random,2.550767708085032e-72,9.352814929645118e-72
RF,ElasticNet,0.009256377088418881,0.010533118755787003
RF,GENBAIT,0.0,0.0
GBM,Chi-Squared,3.227637530331396e-22,6.87174441941523e-22
GBM,Lasso,0.0006078220771670805,0.0007163617338040592
GBM,XGB,0.7696562472734866,0.7814971126161556
GBM,Neural Network,6.715382034330726e-08,9.849226983685066e-08
GBM,Mutual Info,0.607442902943009,0.626425493659978
GBM,Ridge,6.251367917533312e-19,1.2502735835066625e-18
GBM,Random,1.1356199900010425e-109,5.3536370957192e-109
GBM,ElasticNet,1.4292343043615607e-07,2.0186588124079334e-07
GBM,GENBAIT,0.0,0.0
Chi-Squared,Lasso,4.958584936500667e-14,8.1816651452261e-14
Chi-Squared,XGB,1.9166264786389664e-30,4.6850869477841395e-30
Chi-Squared,Neural Network,7.455118276282822e-43,2.2365354828848465e-42
Chi-Squared,Mutual Info,2.1017867072210718e-17,4.079938902252669e-17
Chi-Squared,Ridge,0.10932932590432912,0.11829074606042167
Chi-Squared,Random,1.3401782972442357e-40,3.685490317421648e-40
Chi-Squared,ElasticNet,2.6684229304702768e-08,4.095718916535774e-08
Chi-Squared,GENBAIT,0.0,0.0
Lasso,XGB,6.7148237658562234e-06,9.0444565009492e-06
Lasso,Neural Network,1.5100828539017152e-16,2.847584810214663e-16
Lasso,Mutual Info,0.004155038401232648,0.004811097096164119
Lasso,Ridge,9.956141988072857e-10,1.5645365981257347e-09
Lasso,Random,1.9909460833838637e-90,8.212652593958438e-90
Lasso,ElasticNet,0.08730588704807064,0.09603647575287771
Lasso,GENBAIT,0.0,0.0
XGB,Neural Network,7.5598730392085086e-06,9.979032411755231e-06
XGB,Mutual Info,0.270250335892813,0.28311939950675646
XGB,Ridge,3.0699008085130254e-28,7.23619476292356e-28
XGB,Random,6.780956541563163e-139,3.442639474947452e-138
XGB,ElasticNet,4.6023237314225036e-11,7.408618689606957e-11
XGB,GENBAIT,0.0,0.0
Neural Network,Mutual Info,3.581247998455425e-05,4.5454301518857315e-05
Neural Network,Ridge,5.85262214035778e-44,1.9313653063180675e-43
Neural Network,Random,8.486380386402919e-146,4.6675092125216054e-145
Neural Network,ElasticNet,1.39945594793214e-23,3.1849687090869393e-23
Neural Network,GENBAIT,0.0,0.0
Mutual Info,Ridge,7.844176564108411e-15,1.3992314952193384e-14
Mutual Info,Random,2.3693786526443478e-98,1.0425266071635131e-97
Mutual Info,ElasticNet,3.916123389970513e-05,4.8766819573217716e-05
Mutual Info,GENBAIT,0.0,0.0
Ridge,Random,4.737651238005013e-62,1.6457104300438464e-61
Ridge,ElasticNet,1.9089052288509764e-05,2.4703479432189106e-05
Ridge,GENBAIT,0.0,0.0
Random,ElasticNet,2.5724836160756437e-89,9.987289332999558e-89
Random,GENBAIT,0.0,0.0
ElasticNet,GENBAIT,0.0,0.0
