Method 1,Method 2,P-value,Adjusted P-value
ANOVA F,GBM,1.8556323261509395e-105,3.602109809587118e-105
ANOVA F,Neural Network,8.908092843720105e-19,1.0689711412464125e-18
ANOVA F,ElasticNet,8.305190028621439e-16,9.788259676589552e-16
ANOVA F,GENBAIT,0.0,0.0
ANOVA F,RF,9.08992342954931e-146,1.874796707344545e-145
ANOVA F,Mutual Info,1.0629577734788056e-82,1.89608683917841e-82
ANOVA F,Lasso,1.09367516609202e-49,1.569186107871159e-49
ANOVA F,XGB,1.2902760026680094e-11,1.4940037925629582e-11
ANOVA F,Ridge,0.01206379802238567,0.012249394915037758
ANOVA F,Chi-Squared,2.567713850685584e-29,3.259021425870164e-29
ANOVA F,Random,0.0,0.0
GBM,Neural Network,1.3158224763528133e-29,1.7028290870448173e-29
GBM,ElasticNet,1.8960786314748112e-55,2.844117947212217e-55
GBM,GENBAIT,4.222902217868037e-217,1.1148461855171618e-216
GBM,RF,7.460491999991947e-07,8.206541199991142e-07
GBM,Mutual Info,0.0,0.0
GBM,Lasso,1.7572367979018304e-25,2.147733864102237e-25
GBM,XGB,4.53991272059772e-260,1.3027575633019542e-259
GBM,Ridge,6.841580960766968e-155,1.4565946561632899e-154
GBM,Chi-Squared,2.4938882667984788e-34,3.291932512173992e-34
GBM,Random,0.0,0.0
Neural Network,ElasticNet,0.008261935072420411,0.008520120543433549
Neural Network,GENBAIT,0.0,0.0
Neural Network,RF,1.407875687652289e-52,2.0648843418900242e-52
Neural Network,Mutual Info,1.260758164473792e-169,2.971787101973938e-169
Neural Network,Lasso,0.0008068401656593333,0.0008588943698954193
Neural Network,XGB,6.543336641763246e-72,1.1073338932214723e-71
Neural Network,Ridge,1.1636659596170287e-37,1.5673868027494672e-37
Neural Network,Chi-Squared,0.2525131085038045,0.2525131085038045
Neural Network,Random,0.0,0.0
ElasticNet,GENBAIT,0.0,0.0
ElasticNet,RF,7.661618862531526e-92,1.4447624140773735e-91
ElasticNet,Mutual Info,4.0372667538176344e-156,8.881986858398796e-156
ElasticNet,Lasso,7.509970113260699e-09,8.400983516528918e-09
ElasticNet,XGB,2.3036463327230867e-74,4.001069946308518e-74
ElasticNet,Ridge,1.2332573841958479e-28,1.5357544784325654e-28
ElasticNet,Chi-Squared,0.006532783147951398,0.006843868059758607
ElasticNet,Random,0.0,0.0
GENBAIT,RF,3.1027686771215567e-156,7.061473541035267e-156
GENBAIT,Mutual Info,0.0,0.0
GENBAIT,Lasso,0.0,0.0
GENBAIT,XGB,0.0,0.0
GENBAIT,Ridge,0.0,0.0
GENBAIT,Chi-Squared,0.0,0.0
GENBAIT,Random,0.0,0.0
RF,Mutual Info,0.0,0.0
RF,Lasso,2.20428554293648e-56,3.383321996135063e-56
RF,XGB,0.0,0.0
RF,Ridge,4.353990449275725e-207,1.1052437294315302e-206
RF,Chi-Squared,3.878778503806378e-63,6.243887347590755e-63
RF,Random,0.0,0.0
Mutual Info,Lasso,8.893529555466759e-242,2.4457206277533585e-241
Mutual Info,XGB,7.019054079860088e-38,9.65119935980762e-38
Mutual Info,Ridge,2.4024537929221145e-62,3.7752845317347517e-62
Mutual Info,Chi-Squared,3.194574427605728e-197,7.808959711925112e-197
Mutual Info,Random,0.0,0.0
Lasso,XGB,1.4808510258061493e-143,2.9617020516122987e-143
Lasso,Ridge,8.938502694840635e-69,1.4748529446487047e-68
Lasso,Chi-Squared,0.0006343715211557542,0.0006863691868242587
Lasso,Random,0.0,0.0
XGB,Ridge,3.3616117554408955e-09,3.825282342398261e-09
XGB,Chi-Squared,1.6239100510197986e-89,2.977168426869631e-89
XGB,Random,0.0,0.0
Ridge,Chi-Squared,8.410415573157604e-44,1.1810370804859614e-43
Ridge,Random,0.0,0.0
Chi-Squared,Random,0.0,0.0
