Method 1,Method 2,P-value,Adjusted P-value
GENBAIT,Ridge,0.0,0.0
GENBAIT,ElasticNet,0.0,0.0
GENBAIT,Lasso,0.0,0.0
GENBAIT,Chi-Squared,0.0,0.0
GENBAIT,Random,0.0,0.0
GENBAIT,RF,0.0,0.0
GENBAIT,ANOVA F,0.0,0.0
GENBAIT,XGB,0.0,0.0
GENBAIT,GBM,0.0,0.0
GENBAIT,Neural Network,8.463980745114443e-298,5.586227291775532e-297
GENBAIT,Mutual Info,5.760823283953074e-256,3.1684528061741904e-255
Ridge,ElasticNet,3.189997077110273e-10,4.678662379761734e-10
Ridge,Lasso,3.3838572312426016e-10,4.855099505695907e-10
Ridge,Chi-Squared,8.461614937692733e-25,1.469648910230843e-24
Ridge,Random,2.3095378131440004e-211,9.526843479219001e-211
Ridge,RF,4.084142347556895e-06,5.085913112051983e-06
Ridge,ANOVA F,5.444835873484945e-34,1.0569387283823717e-33
Ridge,XGB,7.296170824515425e-19,1.1745055473610197e-18
Ridge,GBM,1.7234270714963531e-18,2.7082425409228405e-18
Ridge,Neural Network,0.7576058005023885,0.781280981768088
Ridge,Mutual Info,2.4589917454615063e-21,4.057336380011485e-21
ElasticNet,Lasso,0.9550356929223281,0.9550356929223281
ElasticNet,Chi-Squared,5.887273814760236e-60,1.387714542050627e-59
ElasticNet,Random,3.2327702383216725e-265,1.9396621429930035e-264
ElasticNet,RF,0.3516665628100081,0.3804916909091891
ElasticNet,ANOVA F,1.1722234560263592e-70,3.516670368079078e-70
ElasticNet,XGB,8.936552582844106e-07,1.1564950401327668e-06
ElasticNet,GBM,1.9408442289559257e-05,2.287423555555198e-05
ElasticNet,Neural Network,6.3818107157673005e-06,7.7999908748267e-06
ElasticNet,Mutual Info,4.852257291236344e-43,1.0007780663174959e-42
Lasso,Chi-Squared,1.912828460648625e-54,4.2082226134269756e-54
Lasso,Random,1.884791865186821e-252,9.568943315563862e-252
Lasso,RF,0.3607936699015325,0.3840706808629217
Lasso,ANOVA F,3.123935354692718e-64,8.247189336388776e-64
Lasso,XGB,3.415177089146654e-07,4.6000344466056975e-07
Lasso,GBM,6.890926853253807e-05,7.978967935346513e-05
Lasso,Neural Network,8.495970404175195e-06,1.0195164485010234e-05
Lasso,Mutual Info,5.398934089434273e-40,1.0797868178868546e-39
Chi-Squared,Random,5.602653569660798e-117,1.9461849241979612e-116
Chi-Squared,RF,5.198529868650729e-46,1.1067837784869292e-45
Chi-Squared,ANOVA F,0.018703436273465653,0.02092248803472429
Chi-Squared,XGB,1.8584158468264845e-61,4.5427942922425174e-61
Chi-Squared,GBM,4.999398384688299e-62,1.2690780514977992e-61
Chi-Squared,Neural Network,2.3110550529857717e-15,3.5472007790014173e-15
Chi-Squared,Mutual Info,0.04492080458964857,0.04941288504861343
Random,RF,2.396409295114347e-231,1.1297358105539066e-230
Random,ANOVA F,3.0120076986321583e-85,9.466309909986783e-85
Random,XGB,1.9040929657129664e-206,7.392360925709164e-206
Random,GBM,1.0241179509134715e-228,4.506118984019275e-228
Random,Neural Network,2.969010337575391e-169,1.0886371237776435e-168
Random,Mutual Info,7.380279023991646e-86,2.435492077917243e-85
RF,ANOVA F,7.235414464242011e-56,1.646680533241285e-55
RF,XGB,3.4711857593543764e-08,4.874431066327422e-08
RF,GBM,4.197725913423556e-08,5.771873130957389e-08
RF,Neural Network,0.0054612220620197695,0.00621449407057422
RF,Mutual Info,1.5471973993218002e-30,2.8365285654233005e-30
ANOVA F,XGB,4.2426043713885156e-67,1.1667162021318418e-66
ANOVA F,GBM,1.8646026933031793e-70,5.3505990329569486e-70
ANOVA F,Neural Network,2.967146367228706e-23,5.021324621463964e-23
ANOVA F,Mutual Info,0.6424506838553217,0.6730435735627179
XGB,GBM,0.7865927776074919,0.7986942049552994
XGB,Neural Network,3.0435262789256456e-06,3.862937200174858e-06
XGB,Mutual Info,4.43922399865376e-28,7.918615781382384e-28
GBM,Neural Network,6.790103456372328e-07,8.962936562411473e-07
GBM,Mutual Info,4.5884114544881883e-33,8.652433028463441e-33
Neural Network,Mutual Info,9.638879174373903e-15,1.4458318761560855e-14
