Method 1,Method 2,P-value,Adjusted P-value
Chi-Squared,ElasticNet,0.9183014634481987,0.9183014634481987
Chi-Squared,GENBAIT,1.2363007650674452e-119,4.294518447076388e-119
Chi-Squared,XGB,0.0022647363374935993,0.0025771137633547854
Chi-Squared,Random,0.0,0.0
Chi-Squared,ANOVA F,3.014612266539482e-11,4.627079292828043e-11
Chi-Squared,GBM,5.9030175568961396e-05,7.492291514522024e-05
Chi-Squared,Neural Network,5.513490389947889e-07,7.581049286178347e-07
Chi-Squared,RF,4.500780936204668e-11,6.751171404307003e-11
Chi-Squared,Mutual Info,7.45286534117065e-33,1.756746830418796e-32
Chi-Squared,Ridge,0.0027465539665223453,0.003072416301533471
Chi-Squared,Lasso,0.00793510535012176,0.008585523821443215
ElasticNet,GENBAIT,3.678232965690689e-136,1.42801985726815e-135
ElasticNet,XGB,0.0007509304525320018,0.0008694984187212653
ElasticNet,Random,0.0,0.0
ElasticNet,ANOVA F,2.2940897582967433e-12,3.695087613726398e-12
ElasticNet,GBM,7.508581613722073e-05,9.350309179352016e-05
ElasticNet,Neural Network,6.973269337412016e-09,9.792250558919001e-09
ElasticNet,RF,8.241001428378385e-13,1.394631010956342e-12
ElasticNet,Mutual Info,1.8178424042386013e-37,4.614523026144142e-37
ElasticNet,Ridge,0.0003247944233748388,0.00038975330804980654
ElasticNet,Lasso,0.007878016177236375,0.008585523821443215
GENBAIT,XGB,8.046663343636737e-179,4.4256648390002053e-178
GENBAIT,Random,0.0,0.0
GENBAIT,ANOVA F,6.9415284174945365e-162,3.2724348253902815e-161
GENBAIT,GBM,4.9068348279134886e-110,1.6192554932114512e-109
GENBAIT,Neural Network,3.5424128816004675e-146,1.4612453136601929e-145
GENBAIT,RF,1.0439243829363233e-95,3.280905203514159e-95
GENBAIT,Mutual Info,6.960659547342015e-176,3.5338733086505617e-175
GENBAIT,Ridge,7.734716621917248e-161,3.403275313643589e-160
GENBAIT,Lasso,8.354220445539845e-125,3.06321416336461e-124
XGB,Random,0.0,0.0
XGB,ANOVA F,1.0038174254358965e-05,1.3250390015753834e-05
XGB,GBM,2.2954332145876107e-12,3.695087613726398e-12
XGB,Neural Network,9.037290464606239e-05,0.00011045577234518736
XGB,RF,3.587518524927215e-30,8.164697332592972e-30
XGB,Mutual Info,9.011629282512772e-29,1.98255844215281e-28
XGB,Ridge,0.3409662049647485,0.3462118388872831
XGB,Lasso,3.61337602113489e-10,5.184409073802233e-10
Random,ANOVA F,0.0,0.0
Random,GBM,0.0,0.0
Random,Neural Network,0.0,0.0
Random,RF,0.0,0.0
Random,Mutual Info,0.0,0.0
Random,Ridge,0.0,0.0
Random,Lasso,0.0,0.0
ANOVA F,GBM,4.963688954205477e-28,1.0567853902501983e-27
ANOVA F,Neural Network,0.14824777392723,0.15530719173328855
ANOVA F,RF,8.624164104484485e-41,2.276779323583904e-40
ANOVA F,Mutual Info,2.586245515614885e-12,4.064100095966248e-12
ANOVA F,Ridge,4.528147964526289e-05,5.859956189386962e-05
ANOVA F,Lasso,6.084466109386491e-22,1.1473564663414525e-21
GBM,Neural Network,9.064068217958109e-24,1.7594955952506917e-23
GBM,RF,0.0005837224003593067,0.0006879585432806115
GBM,Mutual Info,5.152189215527341e-58,1.4784542966295847e-57
GBM,Ridge,7.951325595976732e-15,1.3810197087749059e-14
GBM,Lasso,0.23814080643144997,0.24558270663243278
Neural Network,RF,1.4685072122129937e-35,3.589684296520651e-35
Neural Network,Mutual Info,1.595165381486507e-17,2.845430139948905e-17
Neural Network,Ridge,0.008095363413840055,0.00861764492441038
Neural Network,Lasso,4.3084370164976336e-18,7.89880119691233e-18
RF,Mutual Info,1.778199212770065e-70,5.334597638310195e-70
RF,Ridge,1.6547739302512678e-27,3.41297123114324e-27
RF,Lasso,2.125887496826609e-06,2.8634403018480858e-06
Mutual Info,Ridge,5.595406598749656e-25,1.1190813197499311e-24
Mutual Info,Lasso,9.847219177308989e-51,2.707985273759972e-50
Ridge,Lasso,4.7035128262954576e-11,6.898485478566672e-11
