Method 1,Method 2,P-value,Adjusted P-value
Neural Network,Mutual Info,8.704772114933261e-175,2.051839141377126e-174
Neural Network,Lasso,0.0004935227735317805,0.0005339754598868445
Neural Network,ElasticNet,0.008786512278479907,0.009061090787182403
Neural Network,ANOVA F,6.635090236154028e-19,7.962108283384833e-19
Neural Network,GENBAIT,0.0,0.0
Neural Network,Ridge,5.093759333992674e-38,6.860981960071765e-38
Neural Network,GBM,1.9982342346182711e-29,2.536220374707806e-29
Neural Network,Chi-Squared,0.18373712935621633,0.18373712935621633
Neural Network,RF,2.175693466601739e-52,3.1910170843492176e-52
Neural Network,XGB,4.693394221826834e-66,7.744100466014275e-66
Neural Network,Random,0.0,0.0
Mutual Info,Lasso,1.151752172229952e-249,3.305027972485949e-249
Mutual Info,ElasticNet,1.1926910168450315e-160,2.7144002452335198e-160
Mutual Info,ANOVA F,2.151691469584933e-86,3.944767694239044e-86
Mutual Info,GENBAIT,0.0,0.0
Mutual Info,Ridge,6.9740496180234006e-65,1.1226518897305962e-64
Mutual Info,GBM,0.0,0.0
Mutual Info,Chi-Squared,1.7804571828581445e-205,4.519622079562983e-205
Mutual Info,RF,0.0,0.0
Mutual Info,XGB,4.8900895121479876e-45,6.723873079203483e-45
Mutual Info,Random,0.0,0.0
Lasso,ElasticNet,4.5578302176224525e-09,5.186496454535894e-09
Lasso,ANOVA F,1.9317066365089465e-50,2.77157908716501e-50
Lasso,GENBAIT,0.0,0.0
Lasso,Ridge,6.543209325834667e-70,1.136452146066021e-69
Lasso,GBM,1.210475895159523e-24,1.4794705385283058e-24
Lasso,Chi-Squared,0.0008825282529419438,0.0009394655595833595
Lasso,RF,1.782090944801232e-54,2.673136417201848e-54
Lasso,XGB,5.464664704228083e-134,1.0929329408456165e-133
Lasso,Random,0.0,0.0
ElasticNet,ANOVA F,8.001792650845883e-16,9.43068419563979e-16
ElasticNet,GENBAIT,0.0,0.0
ElasticNet,Ridge,6.590784555805729e-29,8.207392088361852e-29
ElasticNet,GBM,5.941337810090255e-55,9.11926268525481e-55
ElasticNet,Chi-Squared,0.003813386150216858,0.003994975966893851
ElasticNet,RF,1.745232583942022e-90,3.2910100154335274e-90
ElasticNet,XGB,2.04971509669687e-67,3.468748625179318e-67
ElasticNet,Random,0.0,0.0
ANOVA F,GENBAIT,0.0,0.0
ANOVA F,Ridge,0.010028818202969072,0.01018310771378398
ANOVA F,GBM,8.340798600065843e-105,1.6190961988363105e-104
ANOVA F,Chi-Squared,3.3649001675277535e-30,4.3545766873888576e-30
ANOVA F,RF,2.5294425833933817e-144,5.216975328248849e-144
ANOVA F,XGB,2.7887318388806754e-09,3.2290579187039398e-09
ANOVA F,Random,0.0,0.0
GENBAIT,Ridge,0.0,0.0
GENBAIT,GBM,3.722920055890587e-221,9.828508947551149e-221
GENBAIT,Chi-Squared,0.0,0.0
GENBAIT,RF,2.5849653014095104e-159,5.686923663100923e-159
GENBAIT,XGB,0.0,0.0
GENBAIT,Random,0.0,0.0
Ridge,GBM,1.2884507337373977e-154,2.7431531750538145e-154
Ridge,Chi-Squared,3.250056668375781e-45,4.56390936410216e-45
Ridge,RF,2.3910602216428437e-205,5.844813875126951e-205
Ridge,XGB,6.119296601238402e-07,6.845314842063297e-07
Ridge,Random,0.0,0.0
GBM,Chi-Squared,6.0170295538584815e-33,7.942479011093196e-33
GBM,RF,1.223379202997077e-06,1.3457171232967847e-06
GBM,XGB,8.934533874602522e-246,2.4569968155156934e-245
GBM,Random,0.0,0.0
Chi-Squared,RF,8.050834094262038e-61,1.265131071955463e-60
Chi-Squared,XGB,1.322237683994942e-83,2.358586139018005e-83
Chi-Squared,Random,0.0,0.0
RF,XGB,0.0,0.0
RF,Random,0.0,0.0
XGB,Random,0.0,0.0
