Method 1,Method 2,P-value,Adjusted P-value
ANOVA F,Lasso,0.0,0.0
ANOVA F,Chi-Squared,2.5185030550360123e-151,3.462941700674517e-151
ANOVA F,Mutual Info,1.3675564147180811e-40,1.5298088707015823e-40
ANOVA F,ElasticNet,0.0,0.0
ANOVA F,GENBAIT,9.705565946865101e-138,1.2811347049861934e-137
ANOVA F,XGB,0.0,0.0
ANOVA F,Ridge,0.0,0.0
ANOVA F,Neural Network,0.0,0.0
ANOVA F,GBM,0.0,0.0
ANOVA F,RF,0.0,0.0
ANOVA F,Random,0.0,0.0
Lasso,Chi-Squared,0.0,0.0
Lasso,Mutual Info,0.0,0.0
Lasso,ElasticNet,5.975502911568063e-49,6.919003371289337e-49
Lasso,GENBAIT,0.0,0.0
Lasso,XGB,5.926838199792902e-25,6.519522019772193e-25
Lasso,Ridge,2.0681691794811174e-112,2.6249839585721878e-112
Lasso,Neural Network,6.122929574251351e-301,9.184394361377027e-301
Lasso,GBM,5.1021208014006285e-90,6.235925423934101e-90
Lasso,RF,7.308847747741667e-12,7.656888116681746e-12
Lasso,Random,0.0,0.0
Chi-Squared,Mutual Info,0.0,0.0
Chi-Squared,ElasticNet,0.0,0.0
Chi-Squared,GENBAIT,0.009664711871768221,0.009664711871768221
Chi-Squared,XGB,0.0,0.0
Chi-Squared,Ridge,0.0,0.0
Chi-Squared,Neural Network,5.648392449502469e-92,7.033847201267226e-92
Chi-Squared,GBM,0.0,0.0
Chi-Squared,RF,0.0,0.0
Chi-Squared,Random,0.0,0.0
Mutual Info,ElasticNet,0.0,0.0
Mutual Info,GENBAIT,0.0,0.0
Mutual Info,XGB,0.0,0.0
Mutual Info,Ridge,0.0,0.0
Mutual Info,Neural Network,0.0,0.0
Mutual Info,GBM,0.0,0.0
Mutual Info,RF,0.0,0.0
Mutual Info,Random,0.0,0.0
ElasticNet,GENBAIT,0.0,0.0
ElasticNet,XGB,4.5975833338196076e-147,6.192663265961104e-147
ElasticNet,Ridge,7.80796749772177e-17,8.311707336284464e-17
ElasticNet,Neural Network,0.0,0.0
ElasticNet,GBM,2.0668124933732634e-06,2.1314003837911777e-06
ElasticNet,RF,1.3421816603060432e-19,1.4521965504950632e-19
ElasticNet,Random,0.0,0.0
GENBAIT,XGB,0.0,0.0
GENBAIT,Ridge,0.0,0.0
GENBAIT,Neural Network,9.745507567897256e-137,1.2611833323161155e-136
GENBAIT,GBM,0.0,0.0
GENBAIT,RF,0.0,0.0
GENBAIT,Random,0.0,0.0
XGB,Ridge,3.4612038531048933e-251,5.076432317887177e-251
XGB,Neural Network,2.1244192810090838e-176,2.9832270754595644e-176
XGB,GBM,1.0892165160287616e-221,1.562788914302136e-221
XGB,RF,3.39015329768902e-72,4.0681839572268237e-72
XGB,Random,0.0,0.0
Ridge,Neural Network,0.0,0.0
Ridge,GBM,4.2359016067780135e-05,4.3010693238053676e-05
Ridge,RF,1.3147877877832182e-69,1.5495713213159357e-69
Ridge,Random,0.0,0.0
Neural Network,GBM,0.0,0.0
Neural Network,RF,0.0,0.0
Neural Network,Random,0.0,0.0
GBM,RF,1.7158198205961312e-47,1.952484623436977e-47
GBM,Random,0.0,0.0
RF,Random,0.0,0.0
