Chi2_40,F_classif_40,Mutual_Info_40,Lasso_40,Ridge_40,Elastic_Net_40,Random_Forest_40,Gradient_Boosting_40,XGBoost_40,Neural_Network_40,GENBAIT_40,Chi2_60,F_classif_60,Mutual_Info_60,Lasso_60,Ridge_60,Elastic_Net_60,Random_Forest_60,Gradient_Boosting_60,XGBoost_60,Neural_Network_60,GENBAIT_60,Chi2_80,F_classif_80,Mutual_Info_80,Lasso_80,Ridge_80,Elastic_Net_80,Random_Forest_80,Gradient_Boosting_80,XGBoost_80,Neural_Network_80,GENBAIT_80
RPS20,RPS20,CYP2C1_sigseq,SYNE3_Nterm,CYP2C1_sigseq,CYP2C1_sigseq,COIL,PDHA1,PDHA1,COIL,AARS2,RPS20,RPS20,CYP2C1_sigseq,SYNE3_Nterm,CYP2C1_sigseq,CYP2C1_sigseq,COIL,PDHA1,PDHA1,COIL,AIFM1,RPS20,RPS20,CYP2C1_sigseq,SYNE3_Nterm,CYP2C1_sigseq,CYP2C1_sigseq,COIL,PDHA1,PDHA1,CYP2C1_sigseq,AARS2
SFXN1,PDHA1,RAB11A,COIL,COIL,COIL,TERF2IP,COIL,LRRC59_Cterm,CYP2C1_sigseq,AIFM1,SFXN1,PDHA1,RAB11A,COIL,COIL,COIL,TERF2IP,COIL,LRRC59_Cterm,CYP2C1_sigseq,AKAP1_target,SFXN1,PDHA1,RAB11A,COIL,COIL,COIL,TERF2IP,COIL,LRRC59_Cterm,COIL,AIFM1
PDHA1,SFXN1,HIST1H2BG,TERF2IP,SYNE3_Nterm,SYNE3_Nterm,AKAP1_target,TERF2IP,SEC61B_Nterm,TERF2IP,AKAP1_target,PDHA1,SFXN1,HIST1H2BG,TERF2IP,SYNE3_Nterm,SYNE3_Nterm,AKAP1_target,TERF2IP,SEC61B_Nterm,TERF2IP,APEX1,PDHA1,SFXN1,HIST1H2BG,TERF2IP,SYNE3_Nterm,SYNE3_Nterm,AKAP1_target,TERF2IP,SEC61B_Nterm,TERF2IP,AKAP1
LRRC59_Cterm,AKAP1_target,KRAS_target,AKAP1_target,AKAP1_target,RAB11A,HIST1H2BG,KRAS_Q61H,RPS20,HIST1H2BG,C11orf52,LRRC59_Cterm,AKAP1_target,KRAS_target,AKAP1_target,AKAP1_target,RAB11A,HIST1H2BG,KRAS_Q61H,RPS20,LAMTOR1_target_peptide,ARF6,LRRC59_Cterm,AKAP1_target,KRAS_target,AKAP1_target,AKAP1_target,RAB11A,HIST1H2BG,KRAS_Q61H,RPS20,SYNE3_Nterm,AKAP1_target
AKAP1_target,LRRC59_Cterm,PDHA1,RAB11A,TERF2IP,TERF2IP,PDHA1,HIST1H2BG,KRAS_Q61H,PDHA1,CALR3,AKAP1_target,LRRC59_Cterm,PDHA1,RAB11A,TERF2IP,TERF2IP,PDHA1,HIST1H2BG,KRAS_Q61H,PDHA1,BCAP31,AKAP1_target,LRRC59_Cterm,PDHA1,RAB11A,TERF2IP,TERF2IP,PDHA1,HIST1H2BG,KRAS_Q61H,KRAS_target,ARF6
CS,CS,KRAS_Q61H,PCM1,HNRNPA1,AKAP1_target,CYP2C1_sigseq,SYNE3_Nterm,SFXN1,RAB11A,CBX3,CS,CS,KRAS_Q61H,PCM1,HNRNPA1,AKAP1_target,CYP2C1_sigseq,SYNE3_Nterm,SFXN1,HIST1H2BG,CALR3,CS,CS,KRAS_Q61H,PCM1,HNRNPA1,AKAP1_target,CYP2C1_sigseq,SYNE3_Nterm,SFXN1,RAB11A,ASF1A
AARS2,RAB11A,GJD3,RPS20,RAB11A,FBL,RAB11A,SEC61B_Nterm,CTNNB1,SYNE3_Nterm,CD3EAP,AARS2,RAB11A,GJD3,RPS20,RAB11A,FBL,RAB11A,SEC61B_Nterm,CTNNB1,RAB11A,CAV1,AARS2,RAB11A,GJD3,RPS20,RAB11A,FBL,RAB11A,SEC61B_Nterm,CTNNB1,LAMTOR1_target_peptide,ATP2A1
SEC61B_Cterm,AARS2,SEC61B_Nterm,CYP2C1_sigseq,CBX3,CBX3,KRAS_target,KRAS_target,KRAS_target,RHOB,COIL,SEC61B_Cterm,AARS2,SEC61B_Nterm,CYP2C1_sigseq,CBX3,CBX3,KRAS_target,KRAS_target,KRAS_target,KRAS_target,CBX3,SEC61B_Cterm,AARS2,SEC61B_Nterm,CYP2C1_sigseq,CBX3,CBX3,KRAS_target,KRAS_target,KRAS_target,PDHA1,BORCS6
RPL31,SEC61B_Cterm,RHOB,SFXN1,FBL,RPS20,SYNE3_Nterm,RAB11A,SEC62,KRAS_Q61H,CS,RPL31,SEC61B_Cterm,RHOB,SFXN1,FBL,RPS20,SYNE3_Nterm,RAB11A,SEC62,COX8A_target,CD3EAP,RPL31,SEC61B_Cterm,RHOB,SFXN1,FBL,RPS20,SYNE3_Nterm,RAB11A,SEC62,RHOB,CAV1
RAB11A,CYP2C1_sigseq,TERF2IP,DDX23,RPS20,HNRNPA1,RPS20,AKAP1_target,RPL31,KRAS_target,CYP2C1_sigseq,RAB11A,CYP2C1_sigseq,TERF2IP,DDX23,RPS20,HNRNPA1,RPS20,AKAP1_target,RPL31,SYNE3_Nterm,CENPA,RAB11A,CYP2C1_sigseq,TERF2IP,DDX23,RPS20,HNRNPA1,RPS20,AKAP1_target,RPL31,KRAS_Q61H,CBX3
CYP2C1_sigseq,RPL31,LAMP2,HIST1H2BG,HIST1H2BG,PCM1,KRAS_Q61H,LAMP2,RAB11A,LAMTOR1_target_peptide,DDX23,CYP2C1_sigseq,RPL31,LAMP2,HIST1H2BG,HIST1H2BG,PCM1,KRAS_Q61H,LAMP2,RAB11A,CS,CEP135,CYP2C1_sigseq,RPL31,LAMP2,HIST1H2BG,HIST1H2BG,PCM1,KRAS_Q61H,LAMP2,RAB11A,LAMP2,CD3EAP
