40,60,80
PFN1,PFN1,PFN1
CAV1,CAV1,CAV1
GJD3,GJD3,GJD3
CEP135,CEP135,CEP135
HIST1H2BG,HIST1H2BG,HIST1H2BG
AP2B1,AP2B1,AP2B1
SERBP1,SERBP1,SERBP1
MARCKS,MARCKS,MARCKS
RAB5A,RAB5A,RAB5A
SEC61B_Cterm,SEC61B_Cterm,SEC61B_Cterm
CYP2C1_sigseq,CYP2C1_sigseq,CYP2C1_sigseq
LMAN1,LMAN1,LMAN1
B3GAT1,B3GAT1,B3GAT1
KRT8,KRT8,KRT8
LAMTOR1_target_peptide,LAMTOR1_target_peptide,LAMTOR1_target_peptide
MAPRE3,MAPRE3,MAPRE3
COX4I1,COX4I1,COX4I1
COX8A_target,COX8A_target,COX8A_target
AKAP1_target,AKAP1_target,AKAP1_target
TERF2IP,TERF2IP,TERF2IP
LMNB1,LMNB1,LMNB1
TMPO,TMPO,TMPO
NUP155_Nterm,NUP155_Nterm,NUP155_Nterm
ZNF330_target,ZNF330_target,ZNF330_target
SV40_NLS,SV40_NLS,SV40_NLS
PXMP2,PXMP2,PXMP2
KRAS_Q61H,KRAS_Q61H,KRAS_Q61H
RAB11A,RAB11A,RAB11A
ACTB,ACTB,ACTB
FLOT1,FLOT1,FLOT1
GJA1,GJA1,GJA1
NDC80,NDC80,NDC80
CBX3,CBX3,CBX3
CLTA,CLTA,CLTA
VASP,VASP,VASP
RAB5C,RAB5C,RAB5C
LRRC59_Cterm,LRRC59_Cterm,LRRC59_Cterm
SEC61B_Nterm,SEC61B_Nterm,SEC61B_Nterm
ERGIC1,ERGIC1,ERGIC1
ZFPL1,ZFPL1,ZFPL1
,KRT19,KRT19
,STX7,STX7
,DCTN1,DCTN1
,AIFM1,AIFM1
,PDHA1,PDHA1
,AKAP1,AKAP1
,DHX40,DHX40
,LMNA,LMNA
,NUP50,NUP50
,CD3EAP,CD3EAP
,APEX1,APEX1
,PEX3,PEX3
,KRAS_target,KRAS_target
,DENND6A,DENND6A
,ACTR3,ACTR3
,C11orf52,C11orf52
,PCM1,PCM1
,CENPA,CENPA
,Pxn,Pxn
,ANKFY1,ANKFY1
,,SYNE3_Cterm
,,SEC62
,,ERGIC2
,,EBAG9
,,VIM
,,LAMP2
,,MAPRE1
,,SFXN1
,,CS
,,DHX8
,,POLR1E
,,ASF1A
,,ACBD5
,,STX4
,,10-Sep
,,OCLN
,,DCTN2
,,HIST1H3A
,,VCL
,,PDIA4
