40,60,80
RHOB,RHOB,RHOB
CYP2C1_sigseq,CYP2C1_sigseq,CYP2C1_sigseq
KRAS_Q61H,KRAS_Q61H,KRAS_Q61H
LAMTOR1_target_peptide,LAMTOR1_target_peptide,LAMTOR1_target_peptide
RAB35,RAB35,RAB35
GJD3,GJD3,GJD3
STX7,STX7,STX7
RAB11A,RAB11A,RAB11A
LAMP2,LAMP2,LAMP2
RAB9A,RAB9A,RAB9A
KRAS_target,KRAS_target,KRAS_target
HIST1H2BG,HIST1H2BG,HIST1H2BG
ARF6,ARF6,ARF6
LAMP3,LAMP3,LAMP3
GJA1,GJA1,GJA1
ZNF330_target,ZNF330_target,ZNF330_target
CD3EAP,CD3EAP,CD3EAP
TERF2IP,TERF2IP,TERF2IP
CAV1,CAV1,CAV1
COIL,COIL,COIL
B3GAT1,B3GAT1,B3GAT1
LAMP1,LAMP1,LAMP1
RAB5A,RAB5A,RAB5A
RAB5C,RAB5C,RAB5C
PARP1,PARP1,PARP1
SEC61B_Nterm,SEC61B_Nterm,SEC61B_Nterm
METTL7A,METTL7A,METTL7A
SV40_NLS,SV40_NLS,SV40_NLS
RAB4A,RAB4A,RAB4A
HSD3B7,HSD3B7,HSD3B7
LAMTOR1,LAMTOR1,LAMTOR1
RAB2A,RAB2A,RAB2A
SEC62,SEC62,SEC62
ELOVL5,ELOVL5,ELOVL5
AKAP1_target,AKAP1_target,AKAP1_target
CBX3,CBX3,CBX3
STX4,STX4,STX4
ZFPL1,ZFPL1,ZFPL1
MARCKS_target,MARCKS_target,MARCKS_target
RPN1,RPN1,RPN1
,C11orf52,C11orf52
,STX6,STX6
,LYN,LYN
,OCLN,OCLN
,SYNE3_Nterm,SYNE3_Nterm
,COX8A_target,COX8A_target
,HSD17B11,HSD17B11
,CENPA,CENPA
,EMD,EMD
,ATP2A1,ATP2A1
,DERL1,DERL1
,PDHA1,PDHA1
,CXADR,CXADR
,RPN2,RPN2
,DDX23,DDX23
,SSR1,SSR1
,CS,CS
,NUP155_Nterm,NUP155_Nterm
,EBAG9,EBAG9
,RPL31,RPL31
,,APEX1
,,DIRAS3
,,LRRC59_Nterm
,,RAB3B_Nterm
,,PXMP2
,,BCAP31
,,AARS2
,,FLOT1
,,LCK
,,PANX1
,,DHFRL1
,,LMAN1
,,CKAP4
,,PFN1
,,KRT8
,,ERGIC1
,,REEP5
,,POLR1E
,,FBL
,,SEC61B_Cterm
