40,60,80
RHOB,RHOB,RHOB
KRAS_Q61H,KRAS_Q61H,KRAS_Q61H
RAB35,RAB35,RAB35
KRAS_target,KRAS_target,KRAS_target
ARF6,ARF6,ARF6
CAV1,CAV1,HIST1H2BG
STX4,HIST1H2BG,TERF2IP
HIST1H2BG,TERF2IP,COIL
TERF2IP,COIL,PARP1
COIL,PARP1,SV40_NLS
CYP2C1_sigseq,SV40_NLS,CBX3
SEC61B_Nterm,CYP2C1_sigseq,CYP2C1_sigseq
RAB2A,SEC61B_Nterm,SEC61B_Nterm
GJD3,RAB2A,RAB2A
GJA1,SEC62,SEC62
C11orf52,GJD3,ELOVL5
SV40_NLS,GJA1,RPN1
ZNF330_target,C11orf52,GJD3
CD3EAP,OCLN,GJA1
MAPRE3,DDX23,C11orf52
DCTN1,ZNF330_target,OCLN
CEP135,CD3EAP,CXADR
NDC80,MAPRE3,DDX23
RPL31,DCTN1,APEX1
RPS6,MAPRE1,NUP50
B3GAT1,CEP135,ZNF330_target
LAMTOR1_target_peptide,NDC80,CD3EAP
SEC61B_Cterm,PCM1,RPL31
MARCKS,RPL31,MAPRE3
KRT8,RPS6,DCTN1
PFN1,B3GAT1,MAPRE1
COX8A_target,LAMTOR1_target_peptide,TRIM36_Nterm
PXMP2,STX7,CEP135
RAB5A,SEC61B_Cterm,NDC80
COX4I1,LRRC59_Cterm,PCM1
,MARCKS,RPS6
,VASP,RPS24
,KRT8,B3GAT1
,KRT19,ZFPL1
,PFN1,LAMTOR1_target_peptide
,ACTB,STX7
,COX8A_target,SEC61B_Cterm
,PXMP2,LRRC59_Cterm
,RAB5A,MARCKS
,COX4I1,VASP
,AP2B1,KRT8
,SYNE3_Nterm,KRT19
,LMAN1,PFN1
,METTL7A,ACTB
,NUP155_Nterm,RAB11A
,,COX8A_target
,,PDHA1
,,PXMP2
,,PEX3
,,RAB5A
,,RAB5C
,,COX4I1
,,AP2B1
,,SYNE3_Nterm
,,LMAN1
,,METTL7A
,,NUP155_Nterm
,,CAV1
,,SQSTM1
,,AKAP1_target
,,LMNB1
