Method,Bait_Length,Component,NMF_Correlation
Chi2,30,1,-0.03973845476633954
Chi2,30,2,0.9999922571778037
Chi2,30,3,0.9993596762745632
Chi2,30,4,0.9941152355143488
Chi2,30,5,0.9939073159745967
Chi2,30,6,0.9986185568382359
Chi2,30,7,0.9709818673684285
Chi2,30,8,0.9937760804515609
Chi2,30,9,0.8522496874365962
Chi2,30,10,0.9685967329286258
Chi2,30,11,0.9983108416440232
Chi2,30,12,0.9597926838726892
Chi2,30,13,0.991064619496605
Chi2,30,14,0.9981994759864632
F_classif,30,1,-0.037054976517985866
F_classif,30,2,0.9999946555677955
F_classif,30,3,0.9994185394566415
F_classif,30,4,0.9941764067800696
F_classif,30,5,0.9937821786575166
F_classif,30,6,0.9986461666682639
F_classif,30,7,0.9699063365482838
F_classif,30,8,0.9956062516018284
F_classif,30,9,0.840251643049662
F_classif,30,10,0.9861975563543931
F_classif,30,11,0.9973572681666333
F_classif,30,12,0.964993102699032
F_classif,30,13,0.975945844663509
F_classif,30,14,0.9978377486471721
Mutual_Info,30,1,-0.040080909561878056
Mutual_Info,30,2,0.9999931302960843
Mutual_Info,30,3,0.9999175110224231
Mutual_Info,30,4,0.9960277733343578
Mutual_Info,30,5,0.990393715688539
Mutual_Info,30,6,0.9958377245379648
Mutual_Info,30,7,0.7848301103534965
Mutual_Info,30,8,0.9943931295851577
Mutual_Info,30,9,0.8399735816727659
Mutual_Info,30,10,0.9872862932754877
Mutual_Info,30,11,0.956040145056022
Mutual_Info,30,12,0.9697419737151239
Mutual_Info,30,13,0.9758869514375311
Mutual_Info,30,14,0.998055768729837
Lasso,30,1,-0.03953048373604993
Lasso,30,2,0.9999942477046293
Lasso,30,3,0.9993598821933255
Lasso,30,4,0.994039232948653
Lasso,30,5,0.9939046285875316
Lasso,30,6,0.998615767560415
Lasso,30,7,0.9712899065365715
Lasso,30,8,0.9982052287709844
Lasso,30,9,0.8522579781672884
Lasso,30,10,0.9848158844324465
Lasso,30,11,0.9983131683825713
Lasso,30,12,0.9273794394795721
Lasso,30,13,0.991065802891224
Lasso,30,14,0.9981721244956068
Ridge,30,1,0.7031713356108044
Ridge,30,2,0.9999912386763051
Ridge,30,3,0.9993988244513965
Ridge,30,4,0.9956240594258947
Ridge,30,5,0.9997403094839971
Ridge,30,6,0.9993691927793925
Ridge,30,7,0.14867862450653074
Ridge,30,8,0.9954139547337532
Ridge,30,9,0.9531160785785358
Ridge,30,10,0.9677799886222139
Ridge,30,11,0.9994007990587529
Ridge,30,12,0.7219155609803872
Ridge,30,13,0.9834483019226209
Ridge,30,14,0.9978461225202017
Elastic_Net,30,1,0.7108065636083921
Elastic_Net,30,2,0.9999940876679184
Elastic_Net,30,3,0.9993596811871303
Elastic_Net,30,4,0.9939703200377197
Elastic_Net,30,5,0.9997309460765906
Elastic_Net,30,6,0.9986189231203986
Elastic_Net,30,7,0.9702157063822263
Elastic_Net,30,8,0.9986794977278105
Elastic_Net,30,9,0.953285282390156
Elastic_Net,30,10,0.9852172197737207
Elastic_Net,30,11,0.9982610456203257
Elastic_Net,30,12,0.9147731134854882
Elastic_Net,30,13,0.9813369471035517
Elastic_Net,30,14,0.9983434274672518
Random_Forest,30,1,0.6567057141364786
Random_Forest,30,2,0.9999940369840835
Random_Forest,30,3,0.9993643863827465
Random_Forest,30,4,0.9900259779777878
Random_Forest,30,5,0.999747146335326
Random_Forest,30,6,0.9986386628747808
Random_Forest,30,7,0.9762131098847705
Random_Forest,30,8,0.9969084758255797
Random_Forest,30,9,0.8390162614029372
Random_Forest,30,10,0.9760170445367818
Random_Forest,30,11,0.9982971880922625
Random_Forest,30,12,-0.043534936395025384
Random_Forest,30,13,0.9964552515291729
Random_Forest,30,14,0.9968856222740824
Gradient_Boosting,30,1,0.35117656712594725
Gradient_Boosting,30,2,0.9999924286650054
Gradient_Boosting,30,3,0.9993606123772907
Gradient_Boosting,30,4,0.9936829405605149
Gradient_Boosting,30,5,0.9938330656525918
Gradient_Boosting,30,6,0.9986396384649694
Gradient_Boosting,30,7,0.9752883704473018
Gradient_Boosting,30,8,0.9978798854505134
Gradient_Boosting,30,9,0.9458650542982154
Gradient_Boosting,30,10,0.9688165454050209
Gradient_Boosting,30,11,0.9974309645285915
Gradient_Boosting,30,12,0.888145991198291
Gradient_Boosting,30,13,0.9906747106656301
Gradient_Boosting,30,14,0.997811649159398
XGBoost,30,1,-0.03944060790458054
XGBoost,30,2,0.9999917660398955
XGBoost,30,3,0.9993569607397036
XGBoost,30,4,0.9575261403945435
XGBoost,30,5,0.25209852343655703
XGBoost,30,6,0.9965679891767029
XGBoost,30,7,0.9100190086704003
XGBoost,30,8,0.9929449139857294
XGBoost,30,9,0.8391902642756055
XGBoost,30,10,0.9715034323968361
XGBoost,30,11,0.29654519990464695
XGBoost,30,12,0.8853264664466236
XGBoost,30,13,0.9922496535754773
XGBoost,30,14,0.9979011573226378
Neural_Network,30,1,0.37206403254013726
Neural_Network,30,2,0.9999923427185192
Neural_Network,30,3,0.999878324646946
Neural_Network,30,4,0.9961147244555418
Neural_Network,30,5,0.9996921230245468
Neural_Network,30,6,0.998652747826222
Neural_Network,30,7,0.9235058206632643
Neural_Network,30,8,0.9944327588676546
