Method,Bait_Length,Component,NMF_Correlation
Chi2,30,1,-0.03973845476633954
F_classif,30,1,-0.037054976517985866
Mutual_Info,30,1,-0.040080909561878056
Lasso,30,1,-0.03953048373604993
Ridge,30,7,0.14867862450653074
Random_Forest,30,12,-0.043534936395025384
Gradient_Boosting,30,1,0.35117656712594725
XGBoost,30,1,-0.03944060790458054
XGBoost,30,5,0.25209852343655703
XGBoost,30,11,0.29654519990464695
Neural_Network,30,1,0.37206403254013726
Chi2,60,12,-0.04269433440486944
F_classif,60,12,-0.042596073010965095
Lasso,60,12,-0.04333039984678364
Ridge,60,12,-0.04210476494260573
Elastic_Net,60,12,-0.04308940326198423
Random_Forest,60,1,-0.03607633712216779
Gradient_Boosting,60,12,-0.042986597883860715
XGBoost,60,12,-0.04315875533129332
Lasso,90,12,-0.03897862176315262
Ridge,90,12,-0.04027718730209965
Elastic_Net,90,12,-0.03955013652839581
Gradient_Boosting,90,12,-0.04155452178785015
XGBoost,90,12,-0.04133806622204292
