Prey,Primary_Component
A1CF,12
AAAS,2
AARS2,3
AATF,11
ABCF3,1
ACAD9,3
ACAT1,3
ACBD3,14
ACBD5,2
ACOT1,3
ACOT2,3
ACOT8,12
ACSL3,2
ACTR6,6
ADAR,4
ADCY9,2
AES,5
AFDN,8
AFG3L2,3
AGBL1,1
AGFG1,14
AGO1,7
AGO2,7
AGO3,7
AGO4,7
AHCY,14
AHCYL1,1
AHCYL2,7
AHI1,11
AHNAK,1
AIFM1,1
AIP,10
AK4,3
AKAP1,12
AKAP17A,11
AKTIP,1
ALDH3A2,2
ALDH9A1,1
ALG13,12
ALG9,2
ALMS1,8
ALYREF,4
ANGEL2,3
ANKHD1,10
ANKLE2,2
ANKRD17,1
ANKRD26,1
ANKRD28,1
ANKRD40,14
ANKRD44,1
ANKRD52,7
ANLN,5
ANO6,2
ANP32E,11
AP1B1,14
AP1G1,14
AP2A1,7
AP2A2,7
AP2B1,7
AP2M1,7
AP3B1,13
AP3D1,13
AP3S1,13
AP4E1,14
APC,8
API5,11
AQR,9
ARFGAP2,2
ARFGEF3,1
ARHGAP1,2
ARHGAP12,13
ARHGAP17,9
ARHGAP21,8
ARHGAP32,8
ARHGEF18,1
ARID1A,5
ARID1B,5
ARID2,13
ARID3A,5
ARID3B,11
ARL6IP5,2
ARMCX5,10
ARNT,5
ASCC1,6
ASCC2,1
ASCC3,6
ASNS,7
ASPM,7
ATAD2,13
ATAD3B,7
ATF6,2
ATL1,2
ATP5J2-PTCD1,3
ATP5L,12
ATP6AP1,2
ATP6AP2,2
ATP6V1F,2
ATPAF1,3
ATXN2,1
ATXN2L,1
AUP1,2
AZI2,14
BAG2,1
BAG3,1
BBS2,7
BCAP31,2
BCAR1,7
BCAS2,9
BCL11A,13
BCL2L2-PABPN1,12
BCL9,5
BCLAF1,11
BCOR,5
BCR,8
BCS1L,3
BEND3,5
BICC1,12
BIRC6,8
BLM,13
BMP2K,14
BMS1,6
BNIP1,2
BOP1,6
BRCA1,5
BRCA2,8
BRIX1,6
BTAF1,11
BTF3L4,6
BTG1,7
BTG2,7
BTG3,7
BUB1B,14
BUD13,9
BUD31,9
BYSL,5
BZW1,11
BZW2,11
C10orf88,7
C14orf166,1
C15orf39,5
C17orf53,8
C17orf80,3
C18orf25,9
C19orf25,2
C19orf47,11
C1D,11
C1QBP,1
C1orf226,14
C1orf43,2
C1orf52,9
C2CD5,8
C2orf49,8
C7orf50,6
C8orf82,3
C9orf72,2
C9orf78,9
CABLES1,8
CACTIN,9
CACYBP,10
CAMK2D,1
CAMK2G,1
CAMLG,2
CAMSAP3,8
CAPRIN1,1
CAPRIN2,1
CARS2,3
CASC3,12
CASK,1
CASP8AP2,13
CAV1,7
CBL,1
CBLL1,13
CC2D1A,1
CCAR1,4
CCAR2,4
CCDC115,2
CCDC12,9
CCDC138,10
CCDC14,10
CCDC174,11
CCDC18,7
CCDC47,2
CCDC6,9
CCDC66,1
CCDC77,1
CCDC85C,1
CCDC88A,8
CCDC9,1
CCDC94,9
CCDC97,9
CCNB1,1
CCNK,4
CCP110,10
CCSER2,6
CCT2,14
CCT3,14
CCT4,14
CCT5,14
CCT6A,14
CCT7,14
CD2BP2,9
CDC20,1
CDC37,10
CDC40,9
CDC5L,9
CDC73,13
CDCA2,9
CDCA3,2
CDK11A,5
CDK5,8
CDK5RAP2,14
CDK5RAP3,2
CDKAL1,2
CDKN2AIP,4
CDKN2AIPNL,4
CDR2,8
CDR2L,8
CEBPZ,11
CELF1,12
CELF2,4
CENPC,9
CENPH,12
CENPJ,7
CEP112,8
CEP131,10
CEP135,7
CEP152,8
CEP164,8
CEP192,7
CEP295,8
CEP350,10
CEP55,7
CEP63,7
CEP72,8
CEP85,7
CEP85L,8
CEP89,7
CEP97,10
CFAP97,1
CGN,8
CGNL1,8
CHD5,5
CHD7,13
CHD8,5
CHMP7,2
CHP1,2
CHTOP,1
CIAO1,7
CIC,5
CISD2,2
CIZ1,4
CKAP4,2
CLCC1,2
CLCN7,2
CLGN,2
CLIC1,9
CLINT1,14
CLNS1A,9
CLP1,5
CLPP,3
CLPTM1,1
CLPX,3
CLSPN,5
CLTC,1
CLUH,6
CMTR1,13
CNOT1,7
CNOT10,7
CNOT11,7
CNOT2,7
CNOT3,7
CNOT4,10
CNOT6,7
CNOT6L,7
CNOT7,7
CNOT8,7
CNOT9,7
CNP,1
CNTLN,6
CNTRL,14
CNTROB,7
COIL,9
CPD,2
CPEB1,7
CPEB2,1
CPEB4,12
CPSF2,4
CPSF4,4
CPSF6,4
CPSF7,4
CPVL,7
CREBBP,5
CRK,1
CRKL,7
CRNKL1,9
CRTC2,8
CS,3
CSDE1,12
CSNK1A1,8
CSNK2A2,11
CSPP1,8
CSTF2,4
CSTF2T,13
CSTF3,4
CTIF,1
CTNNAL1,12
CTNNBL1,9
CUL1,8
CUL3,1
CUX1,5
CWC15,9
CWC22,11
CWC25,9
CWC27,11
CWF19L1,9
CWF19L2,13
CXorf56,9
CYB5A,2
CYLD,7
DAB2,14
DACH1,5
DAP3,3
DAZAP1,4
DCAF13,6
DCAF7,8
DCP1A,1
DCP1B,1
DCP2,7
DDRGK1,2
DDX1,1
DDX17,4
DDX18,6
DDX19B,7
DDX20,9
DDX23,9
DDX24,6
DDX27,6
DDX31,11
DDX3X,12
DDX41,11
DDX49,4
DDX5,4
DDX50,2
DDX54,2
DDX56,6
DDX6,1
DENND4B,2
DENND4C,8
DEPDC1B,1
DERL1,12
DGCR14,9
DGKE,2
DHPS,10
DHRS13,2
DHRS7,2
DHX15,4
DHX16,9
DHX29,6
DHX30,3
DHX33,9
DHX36,1
DHX38,9
DHX40,4
DHX57,1
DHX8,9
DHX9,4
DIAPH3,10
DICER1,6
DIDO1,13
DIS3L,10
DIS3L2,1
DLG1,1
DLG5,8
DLST,3
DNAJA1,8
DNAJA2,8
DNAJA3,3
DNAJB1,1
DNAJC1,2
DNAJC10,1
DNAJC16,2
DNAJC7,1
DNMBP,8
DNTTIP2,11
DOCK4,7
DOPEY2,1
DOT1L,5
DPCD,14
DPYSL4,7
DSG2,2
DSP,7
DVL1,6
DVL2,7
DVL3,10
DYRK1A,8
DYRK1B,8
DZIP3,1
E2F4,10
E2F6,5
EARS2,3
EBNA1BP2,6
ECHS1,3
EDC3,1
EDC4,7
EDRF1,7
EFTUD2,9
EIF2A,1
EIF2AK2,6
EIF2AK3,2
EIF2B1,12
EIF3A,1
EIF3B,1
EIF3C,1
EIF3E,1
EIF3F,1
EIF3G,1
EIF3H,1
EIF3I,1
EIF3K,1
EIF3L,1
EIF3M,1
EIF4A1,1
EIF4A2,1
EIF4A3,1
EIF4B,1
EIF4E,1
EIF4E2,7
EIF4ENIF1,1
EIF4G1,1
EIF4G2,1
EIF4G3,12
EIF6,6
ELAC2,3
ELAVL1,12
ELAVL2,4
ELL,9
ELMSAN1,5
ELOVL2,2
EMC1,2
EMC10,2
EMC2,2
