method,bait_length,runtime_seconds
Chi2,30,0.0009720325469970703
Chi2,60,0.0014003912607828777
Chi2,90,0.0009547869364420573
Elastic_Net,30,0.4885999361673991
Elastic_Net,60,0.46623730659484863
Elastic_Net,90,0.4633760452270508
F_classif,30,0.0016659895579020183
F_classif,60,0.002207040786743164
F_classif,90,0.001986424128214518
GENBAIT,30,357.2158187230428
GENBAIT,60,1776.0163728396099
GENBAIT,90,3213.0411171913147
Gradient_Boosting,30,4.446054617563884
Gradient_Boosting,60,4.299962282180786
Gradient_Boosting,90,4.335813919703166
Lasso,30,0.7626983324686686
Lasso,60,0.7293063004811605
Lasso,90,0.7269139289855957
Mutual_Information,30,0.739457368850708
Mutual_Information,60,0.7302706241607666
Mutual_Information,90,0.7317493756612142
Neural_Network,30,13.205529610315958
Neural_Network,60,12.09884778658549
Neural_Network,90,12.304595470428467
Random_Forest,30,0.13809625307718912
Random_Forest,60,0.1304314931233724
Random_Forest,90,0.1299762725830078
Ridge,30,0.2141388257344564
Ridge,60,0.20745468139648438
Ridge,90,0.20598181088765463
XGBoost,30,1.0018065770467122
XGBoost,60,0.9485244750976562
XGBoost,90,1.2989083131154378
