method,bait_length,runtime_seconds
Chi2,30,0.0010449886322021484
F_classif,30,0.00162506103515625
Mutual_Information,30,0.8262250423431396
Lasso,30,0.8556380271911621
Ridge,30,0.23971199989318848
Elastic_Net,30,0.5283401012420654
Random_Forest,30,0.1511211395263672
Gradient_Boosting,30,6.6496500968933105
XGBoost,30,0.9161691665649414
Neural_Network,30,17.472792863845825
GENBAIT,30,308.009418964386
Chi2,60,0.0013141632080078125
F_classif,60,0.0017819404602050781
Mutual_Information,60,0.8524208068847656
Lasso,60,0.8746769428253174
Ridge,60,0.24843096733093262
Elastic_Net,60,0.544356107711792
Random_Forest,60,0.15397238731384277
Gradient_Boosting,60,6.897618055343628
XGBoost,60,1.120182991027832
Neural_Network,60,16.712742805480957
GENBAIT,60,2169.720645904541
Chi2,90,0.0009379386901855469
F_classif,90,0.0017821788787841797
Mutual_Information,90,0.8528821468353271
Lasso,90,0.8730666637420654
Ridge,90,0.24549293518066406
Elastic_Net,90,0.5411331653594971
Random_Forest,90,0.15322113037109375
Gradient_Boosting,90,7.000975131988525
XGBoost,90,0.937021017074585
Neural_Network,90,16.493227005004883
GENBAIT,90,5279.729820966721
Chi2,30,0.0010259151458740234
F_classif,30,0.003606081008911133
Mutual_Information,30,0.8754832744598389
Lasso,30,0.8984699249267578
Ridge,30,0.2635939121246338
Elastic_Net,30,0.5740461349487305
Random_Forest,30,0.16298222541809082
Gradient_Boosting,30,6.887212753295898
XGBoost,30,1.1448259353637695
Neural_Network,30,13.222142219543457
GENBAIT,30,430.6918830871582
Chi2,60,0.0022988319396972656
F_classif,60,0.0021271705627441406
Mutual_Information,60,0.8758530616760254
Lasso,60,0.8960592746734619
Ridge,60,0.2636909484863281
Elastic_Net,60,0.5724067687988281
Random_Forest,60,0.16323399543762207
Gradient_Boosting,60,6.8199098110198975
XGBoost,60,1.1807117462158203
Neural_Network,60,13.349698066711426
GENBAIT,60,2343.4368288517
Chi2,90,0.0009739398956298828
F_classif,90,0.0018162727355957031
Mutual_Information,90,1.0002710819244385
Lasso,90,0.9931550025939941
Ridge,90,0.2987828254699707
Elastic_Net,90,0.6358976364135742
Random_Forest,90,0.18495917320251465
Gradient_Boosting,90,7.1241607666015625
XGBoost,90,1.0734789371490479
Neural_Network,90,13.356547117233276
GENBAIT,90,4285.9919962883
Chi2,30,0.002148866653442383
F_classif,30,0.0032618045806884766
Mutual_Information,30,0.8613359928131104
Lasso,30,0.8857088088989258
Ridge,30,0.2879180908203125
Elastic_Net,30,0.6666078567504883
Random_Forest,30,0.1572132110595703
Gradient_Boosting,30,6.819762229919434
XGBoost,30,0.968919038772583
Neural_Network,30,13.437486171722412
GENBAIT,30,344.33753299713135
Chi2,60,0.0009348392486572266
F_classif,60,0.004608869552612305
Mutual_Information,60,0.8511991500854492
Lasso,60,0.8763678073883057
Ridge,60,0.2855219841003418
Elastic_Net,60,0.6633000373840332
Random_Forest,60,0.1561298370361328
Gradient_Boosting,60,6.858752965927124
XGBoost,60,0.9932370185852051
Neural_Network,60,13.28023624420166
GENBAIT,60,1941.8974649906158
Chi2,90,0.0009129047393798828
F_classif,90,0.0031609535217285156
Mutual_Information,90,0.8499140739440918
Lasso,90,0.8773119449615479
Ridge,90,0.2862870693206787
Elastic_Net,90,0.6646411418914795
Random_Forest,90,0.15701699256896973
Gradient_Boosting,90,6.824572801589966
XGBoost,90,0.9832489490509033
Neural_Network,90,13.824258089065552
GENBAIT,90,5214.409779071808
