Chi2_30,F_classif_30,Mutual_Info_30,Lasso_30,Ridge_30,Elastic_Net_30,Random_Forest_30,Gradient_Boosting_30,XGBoost_30,Neural_Network_30,GENBAIT_30,Chi2_60,F_classif_60,Mutual_Info_60,Lasso_60,Ridge_60,Elastic_Net_60,Random_Forest_60,Gradient_Boosting_60,XGBoost_60,Neural_Network_60,GENBAIT_60,Chi2_90,F_classif_90,Mutual_Info_90,Lasso_90,Ridge_90,Elastic_Net_90,Random_Forest_90,Gradient_Boosting_90,XGBoost_90,Neural_Network_90,GENBAIT_90
SYNE3_NBF,TERF2IP_CBF,EMD_NBF,TERF2IP_CBF,SARNP_CBF,SARNP_CBF,EMD_NBF,EMD_NBF,EWSR1_CBF,EMD_NBF,CBX2_CBF,SYNE3_NBF,TERF2IP_CBF,EMD_NBF,TERF2IP_CBF,SARNP_CBF,SARNP_CBF,EMD_NBF,EMD_NBF,EWSR1_CBF,EMD_NBF,AFDN_NBF,SYNE3_NBF,TERF2IP_CBF,EMD_NBF,TERF2IP_CBF,SARNP_CBF,SARNP_CBF,EMD_NBF,EMD_NBF,EWSR1_CBF,EMD_NBF,AFDN_NBF
TERF2IP_CBF,SYNE3_NBF,FLI1_CBF,SARNP_CBF,EMD_NBF,SYNE3_NBF,SARNP_CBF,SARNP_CBF,EMD_NBF,SARNP_CBF,DCPS_CBF,TERF2IP_CBF,SYNE3_NBF,FLI1_CBF,SARNP_CBF,EMD_NBF,SYNE3_NBF,SARNP_CBF,SARNP_CBF,EMD_NBF,SARNP_CBF,CBX2_CBF,TERF2IP_CBF,SYNE3_NBF,FLI1_CBF,SARNP_CBF,EMD_NBF,SYNE3_NBF,SARNP_CBF,SARNP_CBF,EMD_NBF,SARNP_CBF,CBX2_CBF
EMD_NBF,EMD_NBF,SARNP_CBF,FLI1_CBF,FLI1_CBF,FLI1_CBF,SYNE3_NBF,SYNE3_NBF,RPS20_NBF,SS18L1_CBF,EMD_NBF,EMD_NBF,EMD_NBF,SARNP_CBF,FLI1_CBF,FLI1_CBF,FLI1_CBF,SYNE3_NBF,SYNE3_NBF,RPS20_NBF,FLI1_CBF,CDKN2AIP_CBF,EMD_NBF,EMD_NBF,SARNP_CBF,FLI1_CBF,FLI1_CBF,FLI1_CBF,SYNE3_NBF,SYNE3_NBF,RPS20_NBF,SS18L1_CBF,CELF1_NBF
RPS20_NBF,RPS20_NBF,SYNE3_NBF,SYNE3_NBF,SYNE3_NBF,TERF2IP_CBF,FLI1_CBF,FLI1_CBF,SYNE3_NBF,FLI1_CBF,EWSR1_NBF,RPS20_NBF,RPS20_NBF,SYNE3_NBF,SYNE3_NBF,SYNE3_NBF,TERF2IP_CBF,FLI1_CBF,FLI1_CBF,SYNE3_NBF,SS18L1_CBF,CELF1_NBF,RPS20_NBF,RPS20_NBF,SYNE3_NBF,SYNE3_NBF,SYNE3_NBF,TERF2IP_CBF,FLI1_CBF,FLI1_CBF,SYNE3_NBF,FLI1_CBF,COIL_NBF
FLI1_CBF,FLI1_CBF,SS18L1_NBF,RPS20_NBF,TERF2IP_CBF,POLR1G_CBF,NOP56_CBF,TERF2IP_CBF,RBM14_NBF,SS18L1_NBF,FLI1_CBF,FLI1_CBF,FLI1_CBF,SS18L1_NBF,RPS20_NBF,TERF2IP_CBF,POLR1G_CBF,NOP56_CBF,TERF2IP_CBF,RBM14_NBF,SS18L1_NBF,COIL_NBF,FLI1_CBF,FLI1_CBF,SS18L1_NBF,RPS20_NBF,TERF2IP_CBF,POLR1G_CBF,NOP56_CBF,TERF2IP_CBF,RBM14_NBF,SYNE3_NBF,CPSF1_NBF
NOP56_CBF,NOP56_CBF,NOP56_CBF,NOP56_CBF,DCPS_CBF,EMD_NBF,TERF2IP_CBF,FUBP3_NBF,MAK16_CBF,SYNE3_NBF,FUBP3_NBF,NOP56_CBF,NOP56_CBF,NOP56_CBF,NOP56_CBF,DCPS_CBF,EMD_NBF,TERF2IP_CBF,FUBP3_NBF,MAK16_CBF,SYNE3_NBF,CPSF6_NBF,NOP56_CBF,NOP56_CBF,NOP56_CBF,NOP56_CBF,DCPS_CBF,EMD_NBF,TERF2IP_CBF,FUBP3_NBF,MAK16_CBF,SS18L1_NBF,CPSF6_CBF
SARNP_CBF,SARNP_CBF,SS18L1_CBF,LMNA_NBF,RPS20_NBF,RPS20_NBF,RPS20_NBF,NOP56_CBF,FUBP3_NBF,FUBP3_NBF,HNRNPA1_CBF,SARNP_CBF,SARNP_CBF,SS18L1_CBF,LMNA_NBF,RPS20_NBF,RPS20_NBF,RPS20_NBF,NOP56_CBF,FUBP3_NBF,PARP1_CBF,DAZAP1_CBF,SARNP_CBF,SARNP_CBF,SS18L1_CBF,LMNA_NBF,RPS20_NBF,RPS20_NBF,RPS20_NBF,NOP56_CBF,FUBP3_NBF,SRSF4_CBF,CPSF6_NBF
LMNA_NBF,HNRNPA1_CBF,RBM14_NBF,CBX2_CBF,NOP56_CBF,NOP56_CBF,LMNA_NBF,EWSR1_CBF,NOP56_CBF,SRSF4_CBF,HNRNPDL_CBF,LMNA_NBF,HNRNPA1_CBF,RBM14_NBF,CBX2_CBF,NOP56_CBF,NOP56_CBF,LMNA_NBF,EWSR1_CBF,NOP56_CBF,DCPS_CBF,DCPS_CBF,LMNA_NBF,HNRNPA1_CBF,RBM14_NBF,CBX2_CBF,NOP56_CBF,NOP56_CBF,LMNA_NBF,EWSR1_CBF,NOP56_CBF,SRSF1_CBF,DAZAP1_CBF
SRSF4_CBF,EWSR1_CBF,HNRNPL_NBF,EMD_NBF,POLR1G_CBF,DCPS_CBF,DCPS_CBF,CBX2_CBF,PML_CBF,DCPS_CBF,HNRNPR_iso1_CBF,SRSF4_CBF,EWSR1_CBF,HNRNPL_NBF,EMD_NBF,POLR1G_CBF,DCPS_CBF,DCPS_CBF,CBX2_CBF,PML_CBF,SRSF1_CBF,EIF4A3_CBF,SRSF4_CBF,EWSR1_CBF,HNRNPL_NBF,EMD_NBF,POLR1G_CBF,DCPS_CBF,DCPS_CBF,CBX2_CBF,PML_CBF,NOP56_CBF,DCPS_CBF
HNRNPA1_CBF,LMNA_NBF,EWSR1_CBF,SUMO1_NBF,SS18L1_CBF,LMNA_NBF,CBX2_CBF,LMNA_NBF,TERF2IP_CBF,SRSF1_CBF,KHDRBS2_CBF,HNRNPA1_CBF,LMNA_NBF,EWSR1_CBF,SUMO1_NBF,SS18L1_CBF,LMNA_NBF,CBX2_CBF,LMNA_NBF,TERF2IP_CBF,SRSF4_CBF,EMD_NBF,HNRNPA1_CBF,LMNA_NBF,EWSR1_CBF,SUMO1_NBF,SS18L1_CBF,LMNA_NBF,CBX2_CBF,LMNA_NBF,TERF2IP_CBF,EWSR1_NBF,DDX23_NBF
